orf	hap a | growth (culture turbidity) | fucoidan [500 g/ml] | YPD | Corban M~Gueven N, 2019
YAL016W	-5.290516548466341
YAL035W	-3.910381796692513
YBR081C	-6.918367794148292
YBR098W	-8.99387813239278
YBR103W	-6.662131949920577
YBR116C	-3.8271821839969276
YBR126C	-6.918367794148292
YBR149W	-3.8271821839969276
YBR271W	-3.2120993329974215
YBR290W	-8.1762528476298
YCL058C	-6.424198665994843
YCR081W	-3.5975512529571123
YDL044C	-3.3310659749602887
YDL116W	-5.139358932795875
YDL168W	-5.4508352317532
YDL230W	-3.6709706662827677
YDL243C	-17.98775626478556
YDR004W	-5.4508352317532
YDR015C	-10.581033096932682
YDR017C	-3.393916276374634
YDR018C	-4.282799110663229
YDR019C	-7.4948984436606505
YDR114C	-3.1013372870319933
YDR121W	-2.9488125024238623
YDR144C	-8.1762528476298
YDR150W	-4.282799110663229
YDR242W	-5.99591875492852
YDR352W	-3.155746713120274
YDR372C	-4.1831991313454795
YDR506C	-8.1762528476298
YDR512C	-8.99387813239278
YDR532C	-4.0881264238149
YDR534C	-12.848397331989686
YEL017C-A	-3.155746713120274
YER004W	-3.155746713120274
YER055C	-3.393916276374634
YER085C	-3.1013372870319933
YER129W	-3.27050113905192
YER152C	-3.27050113905192
YER155C	-3.910381796692513
YFL004W	-5.802502020898569
YFL010W-A	-4.1831991313454795
YFL016C	-3.3310659749602887
YGL101W	-3.27050113905192
YGL109W	-3.459183897074146
YGL114W	-5.802502020898569
YGL118C	-8.1762528476298
YGL127C	-14.989796887321301
YGL132W	-8.1762528476298
YGL148W	-6.918367794148292
YGL202W	-5.290516548466341
YGL203C	-3.393916276374634
YGL206C	-3.3310659749602887
YGL230C	-5.4508352317532
YGR032W	-4.387257625557454
YGR079W	-3.3310659749602887
YGR132C	-3.0487722482687394
YGR133W	-4.282799110663229
YGR144W	-4.996598962440434
YGR146C	-4.387257625557454
YGR276C	-4.996598962440434
YGR285C	-4.0881264238149
YHR029C	-4.387257625557454
YIL112W	-5.99591875492852
YIL125W	-4.282799110663229
YIL152W	-8.99387813239278
YIL153W	-5.290516548466341
YIL165C	-6.662131949920577
YJL020C	-6.424198665994843
YJL137C	-3.393916276374634
YJL160C	-4.612245196098861
YJR011C	-14.989796887321301
YJR069C	-11.242347665490975
YJR096W	-3.997279169952347
YKR046C	-9.993197924880867
YLL028W	-6.424198665994843
YLR083C	-3.155746713120274
YLR091W	-3.6709706662827677
YLR232W	-14.989796887321301
YLR251W	-7.195102505914225
YLR304C	-3.8271821839969276
YLR354C	-3.7474492218303252
YLR364W	-3.393916276374634
YLR373C	-13.836735588296584
YLR374C	-7.820763593385026
YLR408C	-3.459183897074146
YLR432W	-4.733620069680411
YML070W	-9.993197924880867
YMR006C	-3.1013372870319933
YMR073C	-3.8271821839969276
YMR123W	-3.3310659749602887
YMR139W	-3.27050113905192
YMR247C	-3.155746713120274
YNL010W	-5.99591875492852
YNL025C	-4.996598962440434
YNL097C	-5.99591875492852
YNL111C	-7.820763593385026
YNL120C	-4.0881264238149
YNL130C	-4.282799110663229
YNL289W	-4.387257625557454
YNR066C	-6.202674574063987
YOL001W	-3.3310659749602887
YOL147C	-4.282799110663229
YOR251C	-3.0487722482687394
YOR265W	-3.527011032310894
YOR275C	-5.290516548466341
YPL023C	-3.3310659749602887
YPL026C	-4.49693906619639
YPL040C	-3.997279169952347
YPL056C	-3.8271821839969276
YPR045C	-5.621173832745487
YPR061C	-5.802502020898569
YPR062W	-4.0881264238149
YPR078C	-9.993197924880867
YPR101W	-3.7474492218303252
