orf	hap a (post-SGA) | protein stability (tFT-Pex15Δ30) | standard | SC - Leu, + Ade [200 mg/L] | Dederer V~Lemberg MK, 2019	hap a (post-SGA) | protein stability (tFT-Tom5) | standard | SC - Leu, + Ade [200 mg/L] | Dederer V~Lemberg MK, 2019
YAL002W	1.2488580508845872	0.15854542516877276
YAL004W	-0.3503027713004164	0.0012314673476423834
YAL007C	0.11172658588146417	-0.00942310614156147
YAL008W	0.29276511635075503	-0.0866815446341707
YAL009W	1.2791439406452763	0.18414485191526644
YAL011W	0.5134556328857242	0.02380928203571806
YAL014C	0.16100571692295348	0.06904072613551136
YAL015C	-0.5174271373067573	-0.023939210757192565
YAL016C-B	0.27881216566746053	-0.2020517729196007
YAL017W	0.4406136843989343	-0.02221933628768926
YAL018C	0.20913542741279906	-0.06317367966412758
YAL019W	-0.022718914307148085	0.22360093362733094
YAL020C	-0.25914039364426433	0.030587472193624673
YAL021C	4.012592379086369	
YAL022C	-0.2119689151684882	-0.05549528354630443
YAL023C	0.2512498493063304	-0.007096160380017777
YAL024C	4.547659438747769	0.37070617296836383
YAL027W	-0.34050969412529697	0.021627184947157197
YAL028W	0.566897683657024	-0.10013162114173757
YAL029C	0.5101672826645738	-0.030836930874020417
YAL030W	-0.5866183765471835	-0.1490883514705661
YAL031C	-0.20589804351866878	0.13274263110242585
YAL034C	0.3013077918910492	-0.07503809294252961
YAL036C	0.5116281485958916	-0.03988980512725145
YAL037C-A	-0.5466697295028571	-0.028997749919558335
YAL037W	0.3506502721128273	-0.013912788339873758
YAL039C	4.439069226014284	5.747057588941532
YAL040C	-0.04315458980555037	-0.17063500680685448
YAL042C-A	0.35103367428096904	-0.07600773418977907
YAL042W	0.7573284320131735	0.11721040525027661
YAL044W-A	0.3053979088110994	-0.011194754086918312
YAL045C	0.5676125321187133	0.11762900413742257
YAL046C	0.1515191830595838	-0.1808013479898455
YAL048C	1.133998357535109	0.6531123442438818
YAL049C	-0.11460516404768417	-0.0007226975317438801
YAL051W	-0.06435367835309154	0.011650422620423054
YAL053W	0.3522963990129052	-0.09172584843533917
YAL054C	0.7040016918224177	-0.08997374257241496
YAL055W	-0.15590951365721983	-0.07741033352570183
YAL056C-A	-0.08482784265538061	-0.26183075642914055
YAL056W	0.5425021611729438	0.06713710590639263
YAL058W	-0.13739534488933258	-0.5413316112728791
YAL059W	-0.12835649840881694	-0.14553776000094862
YAL060W	-0.5724946878382815	-0.10856507954917835
YAL061W	-0.10022693897175096	-0.08966628711481439
YAL062W	-0.11875012800695926	-0.0970467437203541
YAL064C-A	-0.014224130168638438	-0.08783033432188814
YAL065C	-0.22242934789054136	-0.11042208290042224
YAL066W	0.11197202182312936	-0.030917437235761958
YAL067C	-0.22554530346712612	-0.09660662151014944
YAL067W-A	0.05926519196737344	-0.056047257222695934
YAL068C	0.0721451468420619	-0.13488845729763213
YAR002C-A	0.456324969962269	-0.06720256161782266
YAR003W	1.3964046580553424	0.15023801318127356
YAR014C	0.24785775410462263	-0.029888921938022416
YAR020C	0.02213148980162268	-0.12010747578845109
YAR023C	-0.3691162995893916	-0.01103481261687391
YAR027W	0.2280009559387751	0.05464121743210176
YAR028W	-0.05490344107659248	-0.06342927883677274
YAR029W	-0.3092243995888821	-0.13348163325020934
YAR030C	-0.013797008519299998	-0.0030634190139850028
YAR031W	0.16880846950254583	0.01619638768085026
YAR035C-A	0.14826607397453925	-0.10527377569893955
YAR035W	0.45892207719810063	-0.11998945220493822
YAR042W	0.20820392634661888	-0.04922791611787344
YAR047C	0.2712450901996989	-0.041578661409913696
YAR050W	-0.10027164044697069	-0.005184205573541802
YBL006C	1.6906029583677915	0.3107829360707405
YBL007C	4.648134349153979	0.35518431586415755
YBL008W	0.026703712099960822	-0.15463660932338208
YBL008W-A	0.4010610619504084	-0.18646167864581215
YBL009W	-0.050126474274247816	0.041969081619294704
YBL010C	-0.41961603128890035	-0.07751787811712628
YBL012C	0.11494510534592449	-0.012106591196039032
YBL013W	0.2163261385358575	0.2740361901715141
YBL015W	-0.3621295640955851	-0.013691512358444211
YBL016W	0.19582496958610485	-0.05486364706853909
YBL017C	0.7757904467089487	0.10472440033383319
YBL019W	0.27838679531087906	-0.27897938116670745
YBL024W	0.0377054071557845	0.044810290408735944
YBL028C	0.40318124602393496	-0.028039851870877364
YBL029C-A	-0.08815161146938068	-0.043839459518536156
YBL029W	0.19950938963297188	-0.20106453487299308
YBL031W	1.0858230550052494	-0.10754881491960269
YBL032W	-0.6281507192899967	0.0981191375248519
YBL036C	-0.14133625128452043	-0.06326002482437791
YBL037W	-0.030170231553646967	-0.029402117335237253
YBL039C	0.02530809679510535	0.11386639433298738
YBL039W-B	0.07243088759347349	-0.04361436497819346
YBL042C	-0.3211784943109685	-0.44651819538334253
YBL043W	-0.07871540555274265	0.010896250852230928
YBL044W	0.18774944411964964	0.13899053206034356
YBL045C	4.213634804479729	5.723468567400298
YBL048W	-0.32221637017754745	0.06994190832076144
YBL049W	0.5434416519657282	0.016178812854138806
YBL051C	0.664950625188049	0.32413850711244235
YBL052C	-0.04467993787104726	-0.6480759718160699
YBL053W	-0.26115658591201396	-0.16565852719766014
YBL054W	0.14930256646394888	-0.08194355197929701
YBL055C	-0.19263524644841773	-0.0166966925993131
YBL056W	-0.38455343760097055	-0.058541439157133036
YBL057C	0.18137441268509533	-0.105121409074737
