orf	hom | growth (pooled culture, barseq) | Auroramycin [1.56 uM] | YPD, HEPES [25 mM], pH 6.8, DMSO | Wong JH~Arumugam P, 2019
YAL002W	-0.0429214683147087
YAL004W	0.311137391328724
YAL005C	-0.213829972891982
YAL007C	-0.177572890907762
YAL008W	-0.10670580612328
YAL009W	-0.771223230930345
YAL010C	0.962734409099239
YAL011W	0.448913240899032
YAL012W	0.279284920545037
YAL013W	0.121235389708775
YAL014C	-0.110371492974095
YAL015C	-0.295603327497593
YAL016W	2.54454443445032e-15
YAL017W	0.0313792680690772
YAL018C	0.306144105428086
YAL019W	0.07330548414412
YAL020C	0.795947898523727
YAL021C	-0.710972346852999
YAL022C	0.0464494538999113
YAL023C	-1.05715001064809
YAL024C	0.00675561673705371
YAL026C	-0.603925820120344
YAL027W	0.562923552261241
YAL028W	0.484786737181524
YAL029C	-0.471736302132974
YAL030W	-0.4020648092443
YAL031C	0.095806475743214
YAL034C	-0.058035563679385
YAL034W-A	2.54454443445032e-15
YAL035W	-1.12378597588934
YAL036C	-0.614672972114542
YAL037W	0.627366241813597
YAL039C	2.54454443445032e-15
YAL040C	0.0866012804133043
YAL042C-A	0.216518818546014
YAL042W	0.31779117374469
YAL044C	0.0313506274740528
YAL045C	-0.0746534906814247
YAL046C	0.0559598366047622
YAL047C	-1.81109479522443
YAL048C	-0.167968032303391
YAL049C	0.190162761797343
YAL051W	0.228917020576067
YAL053W	-0.50650850261009
YAL054C	-0.0454676531075114
YAL055W	0.0356295051701078
YAL056C-A	0.0646977639719945
YAL056W	0.417201797170778
YAL058W	-0.123548491219603
YAL059W	0.437720719483312
YAL060W	0.319863257327185
YAL061W	0.0784003013459958
YAL062W	0.00379981030370866
YAL064C-A	0.0315635987508288
YAL065C	-0.0703908000964277
YAL066W	0.112465155946503
YAL067C	0.0636165085492871
YAL068C	-0.0439802439516986
YAR002C-A	-0.0521747111170116
YAR002W	0.261665516106849
YAR003W	-0.375072451389855
YAR014C	-0.875577656390198
YAR015W	0.425500708532922
YAR018C	-0.512862639600395
YAR020C	0.0763186701040395
YAR023C	-0.127810954127492
YAR027W	0.64784574000876
YAR028W	0.0763594544995355
YAR029W	0.243839404912703
YAR030C	0.064355516829574
YAR031W	-0.214187891281551
YAR035W	0.226953064762139
YAR042W	-0.09291073391741231
YAR047C	0.328767253078843
YAR050W	-0.716693705781203
YBL001C	0.144683753491444
YBL002W	-0.568009553514375
YBL003C	1.14835010472047
YBL005W	0.0415699487623067
YBL006C	0.0486644166003646
