orf	hap a | growth (colony size) | calcofluor white [50 ug/ml] | YPD | Zhao F~Han S, 2019	hap a | growth (colony size) | calcofluor white [500 ug/ml] | YPD | Zhao F~Han S, 2019
YAL010C	-3.0833822949500758	0.0
YAL012W	0.0	8.955981631674975
YAL013W	-3.0833822949500758	0.0
YAL022C	-3.0833822949500758	0.0
YAL023C	-3.0833822949500758	0.0
YAL035W	-3.0833822949500758	0.0
YAL047C	-3.0833822949500758	0.0
YAL053W	-3.0833822949500758	0.0
YAL056C-A	-3.0833822949500758	0.0
YBL007C	-3.0833822949500758	0.0
YBL022C	-3.0833822949500758	0.0
YBL024W	-3.0833822949500758	0.0
YBL033C	-3.0833822949500758	0.0
YBL058W	-3.0833822949500758	0.0
YBL061C	0.0	13.433972447512463
YBL071W-A	-3.0833822949500758	0.0
YBL082C	-3.0833822949500758	0.0
YBL094C	-3.0833822949500758	0.0
YBL104C	-3.0833822949500758	0.0
YBR005W	-3.0833822949500758	0.0
YBR015C	-3.0833822949500758	0.0
YBR023C	0.0	13.433972447512463
YBR036C	0.0	8.955981631674975
YBR059C	-3.0833822949500758	0.0
YBR069C	-3.0833822949500758	0.0
YBR078W	-3.0833822949500758	0.0
YBR081C	-3.0833822949500758	0.0
YBR084C-A	0.0	4.4779908158374875
YBR085C-A	-3.0833822949500758	0.0
YBR090C	-3.0833822949500758	0.0
YBR106W	0.0	8.955981631674975
YBR122C	-3.0833822949500758	0.0
YBR126C	0.0	4.4779908158374875
YBR127C	-3.0833822949500758	0.0
YBR131W	-3.0833822949500758	0.0
YBR133C	-3.0833822949500758	0.0
YBR164C	-3.0833822949500758	0.0
YBR171W	-3.0833822949500758	0.0
YBR174C	-3.0833822949500758	0.0
YBR175W	-3.0833822949500758	0.0
YBR194W	0.0	4.4779908158374875
YBR200W	-3.0833822949500758	0.0
YBR276C	-3.0833822949500758	0.0
YBR288C	-3.0833822949500758	0.0
YBR289W	-3.0833822949500758	0.0
YCL001W-B	-3.0833822949500758	0.0
YCL007C	-3.0833822949500758	0.0
YCL008C	0.0	8.955981631674975
YCL028W	-3.0833822949500758	0.0
YCL033C	-3.0833822949500758	0.0
YCR009C	-3.0833822949500758	0.0
YCR020W-B	-3.0833822949500758	0.0
YCR043C	-3.0833822949500758	0.0
YCR047C	-3.0833822949500758	0.0
YCR068W	-3.0833822949500758	0.0
YCR094W	-3.0833822949500758	0.0
YDL006W	-3.0833822949500758	0.0
YDL020C	-3.0833822949500758	0.0
YDL042C	-3.0833822949500758	0.0
YDL047W	-3.0833822949500758	0.0
YDL052C	-3.0833822949500758	0.0
YDL074C	-3.0833822949500758	0.0
YDL075W	-3.0833822949500758	0.0
YDL077C	-3.0833822949500758	0.0
YDL083C	-3.0833822949500758	0.0
YDL095W	-3.0833822949500758	0.0
YDL115C	-3.0833822949500758	0.0
YDL116W	-3.0833822949500758	0.0
YDL133C-A	-3.0833822949500758	0.0
YDL134C	-3.0833822949500758	0.0
YDL136W	-3.0833822949500758	0.0
YDL137W	-3.0833822949500758	0.0
YDL175C	-3.0833822949500758	0.0
YDL185W	-3.0833822949500758	0.0
YDL192W	-3.0833822949500758	0.0
YDL216C	0.0	4.4779908158374875
YDL223C	-3.0833822949500758	0.0
YDR007W	-3.0833822949500758	0.0
YDR024W	-3.0833822949500758	0.0
YDR025W	-3.0833822949500758	0.0
YDR027C	-3.0833822949500758	0.0
YDR048C	-3.0833822949500758	0.0
YDR069C	-3.0833822949500758	0.0
YDR108W	-3.0833822949500758	0.0
YDR136C	-3.0833822949500758	0.0
YDR147W	-3.0833822949500758	0.0
YDR156W	0.0	8.955981631674975
YDR162C	-3.0833822949500758	0.0
YDR200C	-3.0833822949500758	0.0
YDR202C	-3.0833822949500758	0.0
YDR207C	-3.0833822949500758	0.0
YDR245W	-3.0833822949500758	0.0
YDR276C	-3.0833822949500758	0.0
YDR290W	-3.0833822949500758	0.0
YDR293C	-3.0833822949500758	0.0
YDR305C	-3.0833822949500758	0.0
YDR310C	-3.0833822949500758	0.0
YDR318W	-3.0833822949500758	0.0
YDR320C	-3.0833822949500758	0.0
YDR337W	-3.0833822949500758	0.0
YDR351W	-3.0833822949500758	0.0
YDR359C	-3.0833822949500758	0.0
YDR360W	-3.0833822949500758	0.0
