orf	hap a (post-SGA) | mutation frequency (mother enrichment program (MEP) escape) | estradiol [1 uM] | YPD | Novarina D~Chang M, 2019
YAL002W	38.8888888888889
YAL004W	44.4444444444444
YAL005C	33.3333333333333
YAL007C	11.1111111111111
YAL008W	27.7777777777778
YAL009W	27.7777777777778
YAL010C	22.2222222222222
YAL011W	33.3333333333333
YAL012W	100.0
YAL013W	22.2222222222222
YAL014C	16.6666666666667
YAL015C	33.3333333333333
YAL016C-B	38.8888888888889
YAL016W	16.6666666666667
YAL017W	5.55555555555556
YAL018C	16.6666666666667
YAL019W	11.1111111111111
YAL020C	38.8888888888889
YAL021C	16.66666666666665
YAL022C	11.1111111111111
YAL023C	55.5555555555556
YAL024C	55.5555555555556
YAL026C	38.8888888888889
YAL027W	22.2222222222222
YAL028W	16.6666666666667
YAL029C	27.7777777777778
YAL030W	16.6666666666667
YAL031C	22.2222222222222
YAL034C	27.7777777777778
YAL035W	27.7777777777778
YAL036C	22.2222222222222
YAL037C-A	38.8888888888889
YAL037W	38.8888888888889
YAL039C	22.2222222222222
YAL040C	33.3333333333333
YAL042C-A	16.6666666666667
YAL042W	5.55555555555556
YAL044C	5.55555555555556
YAL044W-A	27.7777777777778
YAL045C	22.2222222222222
YAL046C	16.6666666666667
YAL049C	16.6666666666667
YAL051W	44.4444444444444
YAL053W	22.2222222222222
YAL054C	38.8888888888889
YAL055W	44.4444444444444
YAL056C-A	5.55555555555556
YAL056W	16.6666666666667
YAL058W	11.1111111111111
YAL059W	11.1111111111111
YAL060W	27.7777777777778
YAL061W	16.6666666666667
YAL062W	27.7777777777778
YAL064C-A	33.3333333333333
YAL065C	33.3333333333333
YAL066W	27.7777777777778
YAL067C	33.3333333333333
YAL067W-A	22.2222222222222
YAL068C	38.8888888888889
YAR002C-A	22.2222222222222
YAR002W	16.6666666666667
YAR003W	16.6666666666667
YAR014C	61.1111111111111
YAR015W	22.2222222222222
YAR018C	27.7777777777778
YAR020C	11.1111111111111
YAR023C	27.7777777777778
YAR027W	11.1111111111111
YAR028W	27.7777777777778
YAR029W	33.3333333333333
YAR030C	33.3333333333333
YAR031W	22.2222222222222
YAR035C-A	27.7777777777778
YAR035W	44.4444444444444
YAR042W	16.66666666666665
YAR047C	27.7777777777778
YAR050W	33.3333333333333
YBL001C	44.4444444444444
YBL002W	38.8888888888889
YBL003C	50.0
YBL005W	38.8888888888889
YBL006C	100.0
YBL007C	0.0
YBL008W	55.5555555555556
YBL008W-A	38.8888888888889
YBL009W	44.4444444444444
YBL010C	33.3333333333333
YBL011W	22.2222222222222
YBL012C	72.2222222222222
YBL013W	33.3333333333333
YBL015W	66.6666666666667
YBL017C	33.3333333333333
YBL019W	55.5555555555556
YBL021C	0.0
YBL022C	0.0
YBL024W	61.1111111111111
YBL027W	22.2222222222222
YBL028C	22.2222222222222
YBL029C-A	44.4444444444444
YBL029W	33.3333333333333
YBL031W	22.2222222222222
YBL032W	22.2222222222222
YBL036C	27.7777777777778
YBL037W	55.5555555555556
YBL038W	0.0
YBL039C	55.5555555555556
YBL039W-B	33.3333333333333
YBL042C	61.1111111111111
YBL043W	16.6666666666667
YBL044W	16.6666666666667
YBL045C	22.2222222222222
YBL046W	50.0
YBL047C	22.2222222222222
YBL048W	50.0
YBL049W	44.4444444444444
YBL051C	50.0
YBL052C	33.3333333333333
