orf	hap a (post-SGA) | growth (colony size) | expression of amyloid-beta 42 | SGA final selection medium | Chen X~Petranovic D, 2020
YAL002W	0.04535
YAL004W	-0.04996
YAL005C	0.016845
YAL007C	0.187275
YAL008W	0.25739999999999996
YAL010C	0.11184
YAL011W	-0.394045
YAL013W	-0.04854
YAL014C	0.06894
YAL015C	-0.012374999999999997
YAL017W	-0.32760500000000004
YAL018C	0.28813
YAL019W	-0.34017000000000003
YAL020C	-0.011285000000000003
YAL022C	0.16539
YAL023C	
YAL024C	-0.11652499999999999
YAL026C	0.057879999999999994
YAL027W	0.169005
YAL028W	-0.166915
YAL029C	0.081595
YAL030W	-0.03395
YAL031C	-0.166985
YAL034C	0.196525
YAL036C	0.182105
YAL037W	-0.280375
YAL040C	0.54292
YAL042W	0.21569
YAL043C-A	0.19016
YAL045C	0.0004800000000000082
YAL046C	-0.012699999999999996
YAL048C	-9.999999999996123e-06
YAL049C	-0.101245
YAL051W	0.019694999999999997
YAL053W	-0.5339499999999999
YAL054C	-0.010314999999999998
YAL055W	0.12483
YAL056W	0.14004999999999998
YAL058C-A	-0.29923500000000003
YAL058W	-0.522695
YAL059W	0.30040500000000003
YAL060W	0.005095000000000001
YAL061W	-0.025264999999999996
YAL062W	-0.063455
YAL064C-A	-0.06305
YAL065C	-0.06924
YAL066W	-0.031619999999999995
YAL067C	0.10387
YAL068C	0.41054500000000005
YAR002C-A	0.06936
YAR002W	-0.084235
YAR003W	-0.265455
YAR014C	0.011290000000000001
YAR015W	-0.0021100000000000042
YAR018C	0.07552999999999999
YAR020C	-0.04519000000000001
YAR023C	-0.065555
YAR027W	-0.073135
YAR028W	-0.046055
YAR029W	0.07406
YAR030C	-0.1785
YAR031W	0.14974500000000002
YAR035W	-0.14478
YAR037W	-0.027120000000000005
YAR040C	-0.03683500000000001
YAR042W	0.04512000000000001
YAR043C	-0.04180999999999999
YAR047C	-0.050409999999999996
YAR050W	0.11984999999999998
YBL001C	-0.237485
YBL003C	0.09131
YBL005W	-0.12583
YBL007C	-0.771435
YBL008W	-0.33565
YBL009W	0.268915
YBL010C	0.31596
YBL011W	0.32283
YBL013W	0.306765
YBL015W	-0.17436500000000002
YBL016W	-0.57707
YBL017C	0.104395
YBL019W	-0.09331500000000001
YBL021C	0.330665
YBL024W	0.09938999999999999
YBL025W	0.0
YBL027W	0.06612000000000001
YBL028C	0.04818
YBL029W	-0.03137
YBL031W	-0.28908
YBL032W	0.20338499999999998
YBL036C	0.251575
YBL037W	-0.174585
YBL039C	-0.19148
YBL042C	0.060195
YBL043W	0.23441
YBL046W	0.22064999999999999
YBL047C	-0.17944
YBL048W	0.18232
YBL049W	0.22166000000000002
YBL051C	-0.42498499999999995
YBL052C	0.03841
YBL053W	0.344415
YBL054W	-0.20091499999999998
YBL055C	0.034800000000000025
YBL056W	0.173675
YBL057C	0.23217
YBL059W	0.14640999999999998
YBL060W	0.166265
YBL061C	0.02034000000000001
YBL062W	-0.047909999999999994
YBL063W	0.09469
YBL064C	-0.02479500000000001
YBL065W	-0.102055
YBL066C	0.257865
YBL067C	0.62409
YBL068W	0.43498
YBL069W	0.44198
YBL070C	0.384115
YBL071C	-0.17953
YBL072C	-0.43337000000000003
YBL075C	-0.027634999999999993
YBL078C	0.00677
YBL079W	0.061495
YBL081W	0.09587
YBL082C	-0.260815
YBL083C	-0.36191
YBL085W	-0.07674999999999998
YBL086C	0.15579500000000002
YBL087C	-0.11068
YBL088C	0.13875500000000002
YBL089W	-0.055295000000000004
YBL091C	-0.11160499999999998
YBL091C-A	-0.018835000000000005
YBL094C	-0.01176
YBL095W	0.57292
YBL096C	-0.08158
YBL098W	0.283485
YBL100C	-0.043745000000000006
YBL101C	-0.077205
YBL102W	0.16015500000000002
YBL103C	0.05546000000000001
YBL104C	-0.112875
YBL106C	0.064995
YBL107C	0.047005000000000005
YBR001C	0.12811499999999998
YBR005W	0.20284
YBR006W	-0.10326
YBR007C	-0.084865
YBR008C	-0.017390000000000003
YBR009C	-0.12276
YBR010W	0.23036
YBR012C	0.18346500000000002
YBR013C	0.14865499999999998
YBR014C	-0.019964999999999997
YBR015C	-0.526025
YBR016W	0.10662999999999999
YBR018C	-0.30264
YBR019C	0.050125
YBR020W	0.061597500000000006
YBR022W	-0.19933499999999998
YBR023C	0.004635
YBR024W	0.18678
YBR025C	-0.05708
YBR026C	0.14266
YBR027C	-0.00927
YBR028C	0.07998999999999999
YBR030W	-0.12812
YBR031W	-0.13557
YBR032W	0.14164500000000002
YBR033W	-0.231875
YBR034C	-0.034050000000000004
YBR036C	-0.68683
YBR040W	-0.04538
YBR041W	-0.2713
YBR042C	0.1844
YBR043C	-0.041144999999999994
YBR044C	0.39003
YBR045C	-0.10633
YBR046C	0.06749
YBR047W	-0.050530000000000005
YBR048W	0.514765
YBR050C	-0.06328500000000001
YBR051W	0.011189999999999999
YBR052C	0.28243
YBR053C	0.16421
YBR054W	0.221995
YBR056W	-0.085255
YBR057C	-0.13253500000000001
YBR058C	0.396035
YBR059C	-0.1894
YBR061C	0.0996725
YBR062C	-0.249145
YBR063C	0.197975
YBR064W	0.010964999999999975
YBR065C	0.284005
YBR066C	0.39555999999999997
YBR067C	-0.20033499999999999
YBR068C	0.09359
YBR069C	0.168915
YBR071W	0.09190000000000001
YBR072W	-0.018030000000000004
YBR073W	0.027370000000000005
YBR074W	0.026438333333333328
YBR076W	-0.07361
YBR077C	0.31550999999999996
YBR078W	0.23521999999999998
YBR082C	-0.4197475
YBR083W	-0.104075
YBR084C-A	-0.271015
YBR084W	-0.13533
YBR085W	0.05543999999999999
YBR086C	-0.095315
YBR089C-A	-0.133465
YBR090C	0.16607
YBR092C	-0.07551
YBR093C	0.021325
YBR094W	0.03394
YBR095C	0.4055025
YBR098W	0.0353575
YBR099C	0.12522
YBR101C	0.041350000000000005
YBR103W	0.44226
YBR104W	0.07983
YBR105C	-0.004930000000000004
YBR106W	0.439215
YBR107C	0.091575
YBR108W	0.0012150000000000008
YBR111C	-0.116935
YBR113W	0.015585000000000016
YBR114W	0.065245
YBR115C	0.0
YBR116C	0.02829
YBR118W	0.17793
YBR119W	0.010859999999999995
YBR121C	-0.649895
YBR122C	0.0
YBR125C	0.29179
YBR126C	0.352405
YBR128C	0.341025
YBR129C	-0.09987
YBR130C	0.247485
YBR131W	0.35614500000000004
YBR132C	-0.24127500000000002
YBR134W	-0.04296499999999999
YBR137W	0.04695
YBR138C	0.029535
YBR139W	0.38841000000000003
YBR141C	0.19767
YBR144C	0.335575
YBR145W	0.22236499999999998
YBR146W	-0.056955000000000006
YBR147W	0.26014
YBR148W	0.469935
YBR149W	-0.057139999999999996
YBR150C	0.054275000000000004
YBR151W	-0.019119999999999998
YBR156C	0.12421
YBR157C	-0.009995000000000004
YBR158W	0.589135
YBR159W	-0.061184999999999996
YBR161W	0.10631499999999999
YBR162C	-0.099205
YBR162W-A	-0.60307
YBR164C	-0.31963
YBR165W	0.08095000000000001
YBR166C	-0.213625
YBR168W	0.40948
YBR169C	0.080455
YBR170C	-0.15732000000000002
YBR171W	-0.030659999999999993
YBR172C	0.4196
YBR174C	-0.45309
YBR175W	-0.228435
YBR176W	0.22041500000000003
YBR177C	-0.177035
YBR178W	0.143785
YBR180W	0.03066
YBR181C	0.33877999999999997
YBR182C	-0.07454999999999999
YBR183W	0.03948
YBR184W	-0.10753499999999999
YBR185C	-0.098025
YBR186W	0.028340000000000004
YBR187W	-0.14347000000000001
YBR188C	-0.34575500000000003
YBR189W	0.0441
YBR194W	0.5706450000000001
YBR195C	0.298045
YBR197C	0.2102
YBR199W	0.032195
YBR200W	-0.10807
YBR201W	-0.39751499999999995
YBR203W	0.139635
YBR204C	0.230745
YBR205W	-0.28511
YBR206W	0.20271
YBR207W	0.16804999999999998
YBR208C	-0.16915999999999998
YBR209W	-0.010079999999999999
YBR210W	-0.226905
YBR212W	-0.013445
YBR213W	0.2717
YBR214W	0.38405
YBR215W	-0.15844
YBR216C	-0.10844000000000001
YBR217W	0.496905
YBR218C	0.08560999999999999
YBR219C	-0.24611
YBR220C	-0.12166500000000001
YBR221C	0.11091
YBR222C	0.034315
YBR223C	-0.039290000000000005
YBR224W	0.06022
YBR225W	0.11826999999999999
YBR226C	-0.130025
YBR227C	0.0723
YBR228W	-0.23922500000000002
YBR229C	-1.00816
YBR230C	0.0445
YBR231C	0.12082499999999999
YBR232C	0.0071150000000000015
YBR233W	-0.03704
YBR235W	0.44854
YBR238C	0.551715
YBR239C	0.025349999999999998
YBR240C	0.68102
YBR241C	-0.17334000000000002
YBR242W	-0.0116
YBR244W	0.09149499999999999
YBR245C	-0.72668
YBR246W	-0.10685
YBR248C	0.0
YBR249C	0.09258000000000001
YBR250W	0.167425
YBR255W	-0.027099999999999985
YBR258C	0.322845
YBR259W	0.19102
YBR260C	-0.30379999999999996
YBR261C	0.04512
YBR262C	-0.21863
YBR263W	0.17075
YBR264C	-0.218705
YBR266C	-0.28102
YBR267W	0.7662249999999999
YBR269C	-0.13865
YBR270C	0.218465
YBR271W	-0.05086
YBR272C	0.167305
YBR273C	-0.15406
YBR274W	-0.269095
YBR275C	-0.0069149999999999975
YBR276C	-0.13168999999999997
YBR277C	0.28666
YBR278W	0.33393
YBR280C	-0.07782
YBR281C	-0.194975
YBR283C	-0.42247999999999997
YBR284W	0.015609999999999999
YBR285W	-0.06910500000000001
YBR286W	-0.060115
YBR287W	0.013809999999999989
YBR288C	-0.18623499999999998
YBR289W	0.4334
YBR290W	0.10619
YBR291C	-0.149445
YBR292C	-0.010965000000000003
YBR293W	0.21725
YBR294W	-0.15990000000000001
YBR295W	-0.04549500000000001
YBR296C	-0.191135
YBR297W	-0.32356
YBR298C	-0.16388
YBR299W	-0.16018
YBR300C	-0.052935
YBR301W	0.19453
YCL001W	-0.606905
YCL001W-A	-0.18861999999999998
YCL002C	-0.04695
YCL006C	-0.09402999999999999
YCL009C	0.375295
YCL010C	-0.75274
YCL011C	0.42822000000000005
YCL013W	0.02651499999999999
YCL014W	0.1393975
YCL016C	0.008260000000000003
YCL022C	0.071195
YCL023C	0.052225
YCL024W	0.0086
YCL025C	-0.03424
YCL026C	-0.07725499999999999
YCL026C-A	0.19265
YCL027W	0.12298
YCL028W	0.03629
YCL029C	0.24309
YCL030C	0.0
YCL032W	-0.18386000000000002
YCL033C	0.22379
YCL034W	0.020050000000000012
YCL035C	0.25167
YCL036W	0.17681000000000002
YCL037C	0.145005
YCL038C	0.166545
YCL039W	-0.06309000000000001
YCL040W	-0.17732
YCL042W	-0.043505
YCL044C	0.18703
YCL045C	0.27826
YCL046W	-0.079825
YCL047C	0.19732
YCL048W	0.199975
YCL049C	-0.105645
YCL050C	-0.15894
YCL051W	0.147885
YCL055W	0.041155
YCL056C	0.111685
YCL057W	0.271565
YCL061C	-0.1374225
YCL063W	0.01838250000000001
YCL064C	-0.01429
YCL069W	-0.16758499999999998
YCL074W	-0.37566
YCL075W	0.14338499999999998
YCL076W	0.32358
YCR001W	-0.15809
YCR005C	0.06901
YCR006C	0.042135
YCR007C	0.138225
YCR008W	0.01567
YCR009C	-0.4393
YCR010C	-0.002489999999999999
YCR011C	-0.041185000000000006
YCR014C	-0.079375
YCR015C	-0.19154500000000002
YCR016W	-0.004519999999999996
YCR017C	0.161545
YCR019W	-0.022945000000000007
YCR020C	0.07960999999999999
YCR020C-A	0.170125
YCR021C	0.12121499999999999
YCR022C	0.31471000000000005
YCR023C	0.063405
YCR024C-A	-0.33337
YCR025C	0.182545
YCR026C	0.07120000000000001
YCR027C	-0.02681
YCR028C-A	0.49282
YCR030C	0.15148
YCR031C	0.19575
YCR032W	0.024030000000000003
YCR033W	0.652405
YCR034W	-0.20355
YCR036W	-0.023745
YCR037C	0.12620499999999998
YCR043C	-0.17155
YCR044C	-0.08294499999999999
YCR045C	-0.20489000000000002
YCR048W	-0.12134
YCR049C	0.0006700000000000039
YCR050C	-0.163915
YCR051W	-0.124225
YCR053W	-0.011170000000000001
YCR059C	0.292395
YCR060W	-0.115465
YCR061W	0.022624999999999992
YCR063W	-0.48353
YCR065W	0.462125
YCR067C	0.22153499999999998
YCR068W	-0.08947
YCR069W	0.05337999999999998
YCR071C	0.46226
YCR073C	0.23514000000000002
YCR073W-A	0.45582
YCR075C	-0.01917000000000002
YCR076C	-0.44369000000000003
YCR077C	0.17243999999999998
YCR079W	-0.178495
YCR081W	-0.47948
YCR082W	0.057819999999999996
YCR083W	-0.05353
YCR085W	-0.012489999999999994
YCR086W	0.07839
YCR087C-A	0.11827
YCR087W	-0.09133000000000001
YCR088W	-0.251245
YCR089W	0.036975
YCR090C	-0.16934
YCR091W	-0.03928
YCR092C	0.049249999999999995
YCR095C	0.6285000000000001
YCR098C	-0.06631
YCR099C	-0.048100000000000004
YCR100C	-0.027474999999999986
YCR101C	0.39886499999999997
YCR102C	-0.09940499999999997
YCR102W-A	0.251305
YCR105W	0.08731
YCR106W	0.046950000000000006
YCR107W	0.07020499999999999
YDL001W	0.512275
YDL002C	-0.555615
YDL006W	-0.406775
YDL010W	0.26293
YDL011C	0.005469999999999996
YDL012C	0.08533
YDL013W	0.47441
YDL018C	-0.17085
YDL019C	-0.19746
YDL020C	-0.10686499999999999
YDL023C	-0.344115
YDL024C	-0.019799999999999998
YDL025C	0.229685
YDL026W	0.269725
YDL027C	0.13477
YDL033C	-0.083065
YDL034W	-0.09193499999999999
YDL035C	-0.09795000000000001
YDL036C	-0.29011
YDL037C	-0.05835
YDL039C	-0.017162499999999997
YDL040C	-0.24287999999999998
YDL041W	0.0
YDL042C	0.0
YDL046W	-0.08216000000000001
YDL048C	-0.00918999999999999
YDL050C	0.085965
YDL051W	0.056905
YDL052C	-0.09287
YDL053C	-0.010764999999999997
YDL054C	0.08167
YDL056W	0.35087
YDL059C	0.31023999999999996
YDL061C	0.20727
YDL062W	-0.5072949999999999
YDL065C	-0.24821500000000002
YDL066W	-0.16249999999999998
YDL070W	-0.058235
YDL071C	-0.40418
YDL074C	-0.14774
YDL076C	0.1556
YDL077C	-0.19505
YDL078C	-0.07660499999999999
YDL079C	0.31549000000000005
YDL080C	-0.321105
YDL081C	-0.55505
YDL082W	-0.18318500000000004
YDL083C	0.42894
YDL085W	-0.03263999999999999
YDL086W	-0.043065000000000006
YDL088C	-0.042965
YDL089W	0.12537500000000001
YDL090C	0.0
YDL091C	0.49501500000000004
YDL093W	0.07929
YDL094C	0.240195
YDL095W	0.49008
YDL096C	0.13662
YDL099W	0.209505
YDL100C	-0.124535
YDL104C	0.49439500000000003
YDL106C	-0.09129
YDL109C	0.09516999999999998
YDL110C	0.180035
YDL112W	-0.25171
YDL113C	0.10192
YDL114W	-0.08441
YDL117W	-0.31457
YDL118W	0.25313
YDL119C	0.04150999999999999
YDL121C	0.21443500000000001
YDL122W	-0.156325
YDL123W	-0.17805
