orf	hap a (post-SGA) | growth (colony size) | expression of amyloid-beta 42 | SGA final selection medium | Chen X~Petranovic D, 2020
YAL002W	0.16134005308255617
YAL004W	-0.2805350477371476
YAL005C	0.029185507401456
YAL007C	0.819331068546164
YAL008W	1.1444437686299087
YAL010C	0.46960020892666593
YAL011W	-1.8757778770892384
YAL013W	-0.2739516604413342
YAL014C	0.27070773358131617
YAL015C	-0.10628391286873332
YAL017W	-1.5677495306569533
YAL018C	1.2869138331371957
YAL019W	-1.6260032358484293
YAL020C	-0.10123046769096104
YAL022C	0.7178680889906167
YAL023C	
YAL024C	-0.589142917698994
YAL026C	0.21943149168575507
YAL027W	0.7346279094655219
YAL028W	-0.8227604429356417
YAL029C	0.3293786957140761
YAL030W	-0.20630967407096928
YAL031C	-0.8230849761121958
YAL034C	0.8622158097336812
YAL036C	0.7953619753635193
YAL037W	-1.3487823602476088
YAL040C	2.46816823391206
YAL042C-A	0.8327064716084328
YAL042W	0.9510683572859802
YAL045C	-0.04668571308867566
YAL046C	-0.10779067404559202
YAL048C	-0.04895744532455497
YAL049C	-0.5183019614454523
YAL051W	0.04239864387544776
YAL053W	-2.5244037923151397
YAL054C	-0.09673336510156733
YAL055W	0.5298242941186495
YAL056C-A	-1.436220870387779
YAL056W	0.600387079078002
YAL058W	-2.4722234937134635
YAL059W	1.3438230437400902
YAL060W	-0.025289704377282
YAL061W	-0.16604437923706802
YAL062W	-0.3431004079885578
YAL064C-A	-0.34122275175278
YAL065C	-0.36992075693664284
YAL066W	-0.19550735547995143
YAL067C	0.43264978868185394
YAL068C	1.8544528161069163
YAR002C-A	0.2726549326406413
YAR002W	-0.4394403995427855
YAR003W	-1.2796104317592027
YAR014C	0.003431481747763277
YAR015W	-0.05869344062118052
YAR018C	0.30126021405977427
YAR020C	-0.2584204298490983
YAR023C	-0.35283640328518334
YAR027W	-0.38797871011776497
YAR028W	-0.2624307326736606
YAR029W	0.29444501735213646
YAR030C	-0.876470683655359
YAR031W	0.6453349240307567
YAR035W	-0.7201384163209721
YAR042W	0.1602737297881639
YAR047C	-0.28262133244356735
YAR050W	0.5067360767009376
YBL001C	-1.149936246784624
YBL003C	0.3744192644315603
YBL005W	-0.632282649239518
YBL007C	-3.6254289556575734
YBL008W	-1.6050476650195018
YBL009W	1.1978294761730723
YBL010C	1.4159389517586662
YBL011W	1.4477895649433412
YBL013W	1.3733092009241559
YBL015W	-0.8573000452974798
YBL016W	-2.724316229072517
