orf	hap a | actin aggregate (Sac6) | standard | SD[low-fluor] + Met + Leu + Ura + NAT + G418 | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | actin bright patches (Sac6) | standard | SD[low-fluor] + Met + Leu + Ura + NAT + G418 | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | actin decreased patch number (Sac6) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | actin depolarized patches (Sac6) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat aggregate (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat decreased patch number (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat depolarized patches (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat increased patch number (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | late endosome fragmented (Snf7) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | late endosome membrane (Snf7) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | late endosome condensed (Snf7) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole class E (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole enlarged (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole vATPase defect (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole fragmented (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole class G (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole multilobed (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020
YAL002W	0.036585365853659	0.036585365853659	0.01219512195122	0.329268292682927	0.108108108108108	0.045045045045045	0.054054054054054	0.081081081081081	0.090909090909091	0.040618955512573	0.174081237911025	0.042154566744731	0.091334894613583	0.01288056206089	0.146370023419204	0.085480093676815	0.058548009367682
YAL004W	0.0	0.010204081632653	0.020408163265306	0.030612244897959	0.00990099009901	0.079207920792079	0.03960396039604	0.00990099009901	0.041237113402062	0.041237113402062	0.061855670103093	0.021276595744681	0.028368794326241	0.00709219858156	0.042553191489362	0.014184397163121	0.056737588652482
YAL005C	0.0	0.0	0.0	0.166666666666667	0.030769230769231	0.169230769230769	0.015384615384615	0.0	0.004608294930876	0.19815668202765	0.036866359447005	0.025423728813559	0.033898305084746	0.025423728813559	0.046610169491526	0.008474576271186	0.063559322033898
YAL007C	0.010209339774557	0.039838969404187	0.030370370370371	0.049307568438003	0.025975319179203	0.123318752444966	0.025050677477862	0.025889967637541	0.102826585179526	0.051540616246499	0.086783804430863	0.011343241198617	0.025568326777636	0.006921750936766	0.049432837940069	0.011152449345872	0.081383817744973
YAL008W	0.034444937892796	0.046146392668255	0.059153242628554	0.085954216964754	0.051319983797397	0.118807347528223	0.055159296243462	0.011412268188303	0.067428252995264	0.041655057118975	0.096599176496084	0.013933668442351	0.016573948403225	0.001972386587771	0.031684253631391	0.003785623215151	0.059901183968413
YAL009W	0.004728132387707	0.056704291945527	0.075483634668531	0.075516931375487	0.034703196347032	0.117646378822033	0.06084041384891	0.013351829374024	0.268787571113153	0.101951683347032	0.048203838901514	0.016747678448769	0.001583531274743	0.004942854795775	0.040261195268982	0.009501187648456	0.028360241130215
YAL010C					0.028169014084507	0.149295774647887	0.014084507042254	0.005633802816901	0.215686274509804	0.03921568627451	0.117647058823529	0.016597510373444	0.078838174273859	0.008298755186722	0.099585062240664	0.012448132780083	0.04149377593361
YAL011W	0.031446540880503	0.075471698113208	0.037735849056604	0.10062893081761	0.048128342245989	0.042780748663102	0.016042780748663	0.016042780748663	0.14385150812065	0.034802784222738	0.14385150812065	0.021543985637343	0.057450628366248	0.008976660682226	0.0754039497307	0.005385996409336	0.064631956912029
YAL013W	0.009950248756219	0.017412935323383	0.042045868219877	0.160235408324232	0.079554390563565	0.101179554390563	0.11826998689384	0.03386631716907	0.088394241417497	0.016921373200443	0.477563676633444	0.018792299021683	0.023021606685089	0.007140003519469	0.065113740672219	0.019372535777303	0.06526712292934
YAL014C	0.0	0.0	0.0625	0.09375	0.0	0.129032258064516	0.0	0.0	0.042372881355932	0.025423728813559	0.161016949152542	0.027272727272727	0.034090909090909	0.009090909090909	0.059090909090909	0.011363636363636	0.038636363636364
YAL015C	0.037037037037037	0.037037037037037	0.111111111111111	0.111111111111111	0.0	0.333333333333333	0.037037037037037	0.0	0.077586206896552	0.03448275862069	0.094827586206897	0.049180327868853	0.102459016393443	0.004098360655738	0.036885245901639	0.004098360655738	0.057377049180328
YAL016W									0.013274336283186	0.176991150442478	0.115044247787611						
YAL017W	0.0	0.0	0.052631578947369	0.131578947368421	0.0	0.340425531914894	0.021276595744681	0.0	0.0	0.181818181818182	0.090909090909091	0.033653846153846	0.048076923076923	0.004807692307692	0.048076923076923	0.004807692307692	0.028846153846154
YAL018C	0.026315789473684	0.026315789473684	0.052631578947369	0.078947368421053	0.052631578947369	0.105263157894737	0.013157894736842	0.013157894736842				0.014851485148515	0.037128712871287	0.00990099009901	0.03960396039604	0.00990099009901	0.037128712871287
YAL019W	0.030330100391356	0.015824400204186	0.052969201973796	0.058014293006636	0.047819263335336	0.077199305057707	0.066180982090382	0.025782617400683	0.076281422208802	0.041408746634458	0.084912307189049	0.016907020115888	0.020215619982248	0.000777907429016	0.025723304311403	0.015101875953685	0.035100579441303
