orf	hom | growth (culture turbidity) | sodium dodecyl sulfate [0.03%] | YPD | Cao C~Zhao Y, 2020
YAL010C	-6.500712211693367
YAL013W	-6.500712211693367
YCL008C	-6.500712211693367
YCL010C	-6.500712211693367
YCL016C	-6.500712211693367
YCR003W	-6.500712211693367
YCR037C	-6.500712211693367
YCR053W	-6.500712211693367
YCR094W	-6.500712211693367
YDL013W	-6.500712211693367
YDL041W	-6.500712211693367
YDL047W	-6.500712211693367
YDL074C	-6.500712211693367
YDL116W	-6.500712211693367
YDL133W	-6.500712211693367
YDL151C	-6.500712211693367
YDL191W	-6.500712211693367
YDR007W	-6.500712211693367
YDR008C	-6.500712211693367
YDR028C	-6.500712211693367
YDR127W	-6.500712211693367
YDR149C	-6.500712211693367
YDR159W	-6.500712211693367
YDR173C	-6.500712211693367
YDR200C	-6.500712211693367
YDR315C	-6.500712211693367
YDR359C	-6.500712211693367
YDR369C	-6.500712211693367
YDR525W	-6.500712211693367
YEL027W	-6.500712211693367
YER031C	-6.500712211693367
YER068W	-6.500712211693367
YER116C	-6.500712211693367
YFL001W	-6.500712211693367
YGL007W	-6.500712211693367
YGL026C	-6.500712211693367
YGL148W	-6.500712211693367
YGR056W	-6.500712211693367
YGR063C	-6.500712211693367
YGR104C	-6.500712211693367
YGR105W	-6.500712211693367
YGR160W	-6.500712211693367
YGR271C-A	-6.500712211693367
YHL011C	-6.500712211693367
YHL031C	-6.500712211693367
YHR004C	-6.500712211693367
YHR011W	-6.500712211693367
YHR120W	-6.500712211693367
YJL062W	-6.500712211693367
YJL124C	-6.500712211693367
YJL128C	-6.500712211693367
YJL171C	-6.500712211693367
YJL204C	-6.500712211693367
YJR055W	-6.500712211693367
YJR090C	-6.500712211693367
YJR102C	-6.500712211693367
YKL041W	-6.500712211693367
YKL048C	-6.500712211693367
YKL080W	-6.500712211693367
YKL134C	-6.500712211693367
YKL135C	-6.500712211693367
YKL136W	-6.500712211693367
YKL139W	-6.500712211693367
YKR001C	-6.500712211693367
YKR020W	-6.500712211693367
YLL027W	-6.500712211693367
YLL063C	-6.500712211693367
YLR025W	-6.500712211693367
YLR056W	-6.500712211693367
YLR119W	-6.500712211693367
YLR244C	-6.500712211693367
YLR261C	-6.500712211693367
YLR330W	-6.500712211693367
YLR357W	-6.500712211693367
YLR358C	-6.500712211693367
YLR360W	-6.500712211693367
YLR371W	-6.500712211693367
YLR372W	-6.500712211693367
YLR373C	-6.500712211693367
YLR374C	-6.500712211693367
YLR384C	-6.500712211693367
YLR396C	-6.500712211693367
YLR399C	-6.500712211693367
YLR417W	-6.500712211693367
YLR425W	-6.500712211693367
YML094W	-6.500712211693367
YMR077C	-6.500712211693367
YMR142C	-6.500712211693367
YMR193W	-6.500712211693367
YNL059C	-6.500712211693367
YNL129W	-6.500712211693367
YNL133C	-6.500712211693367
YNL267W	-6.500712211693367
YNL296W	-6.500712211693367
YNR052C	-6.500712211693367
YOL076W	-6.500712211693367
YOR008C	-6.500712211693367
YOR140W	-6.500712211693367
YOR331C	-6.500712211693367
YPL002C	-6.500712211693367
YPL031C	-6.500712211693367
YPL045W	-6.500712211693367
YPL215W	-6.500712211693367
YPR036W	-6.500712211693367
YPR060C	-6.500712211693367
YPR123C	-6.500712211693367
YPR135W	-6.500712211693367
YPR139C	-6.500712211693367
