orf	hom | growth (pooled culture, microarray) | albicanol [0.05 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	hom | growth (pooled culture, microarray) | drimenol [0.025 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	hom | growth (pooled culture, microarray) | drimenol [0.0375 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | albicanol [0.05 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | drimenol [0.025 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | drimenol [0.0375 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020
YAL001C				0.085	-0.197	0.122
YAL002W	-0.118	-0.201	-0.36			
YAL003W				0.015	-0.182	-0.119
YAL004W	0.003	-0.063	-0.271			
YAL005C	-0.002	-0.16	-0.173			
YAL007C	-0.034	-0.076	-0.099			
YAL008W	-0.042	-0.088	0.037			
YAL009W	0.155	0.302	1.739			
YAL010C	0.159	0.923	0.888			
YAL011W	-0.024	-0.06	0.41			
YAL012W	0.125	0.175	2.12			
YAL013W	-0.088	-0.103	0.727			
YAL014C	-0.082	0.105	-0.069			
YAL015C	-0.034	0.039	-0.065			
YAL016W	0.055	0.221	1.045			
YAL017W	-0.1	0.035	0.009			
YAL018C	0.08	0.033	-0.337			
YAL019W	-0.192	0.025	0.068			
YAL020C	-0.043	-0.066	0.298			
YAL021C	0.024	-0.008	0.444			
YAL022C	-0.031	-0.051	0.006			
YAL023C	0.224	0.405	0.958			
YAL024C	0.321	-0.134	-0.035			
YAL025C				-0.145	-0.222	-0.163
YAL026C	-0.043	0.065	0.505			
YAL027W	0.079	0.017	0.009			
YAL028W	-0.007	0.015	0.0			
YAL029C	0.155	0.255	0.06			
YAL030W	-0.021	-0.034	-0.117			
YAL031C	-0.009	-0.015	-0.109			
YAL032C				-0.11	0.09	-0.072
YAL033W				-0.121	-0.319	-0.295
YAL034C	0.137	0.451	-0.341			
YAL034C-B				-0.126	-0.233	0.331
YAL034W-A				-0.105	0.01	0.116
YAL036C	0.02	-0.032	-0.046			
YAL037W	-0.232	-0.269	-0.26			
YAL038W				-0.047	-0.154	0.061
YAL040C	-1.767	-1.531	-2.133			
YAL041W				-0.738	-0.651	-1.22
YAL042C-A	0.117	0.103	-0.051			
YAL042W	-0.011	0.176	-0.06			
YAL043C				0.352	0.249	-0.004
YAL044C	0.062	0.055	-0.055			
YAL045C	-0.041	0.023	-0.095			
YAL046C	-0.022	0.008	-0.191			
YAL047C	0.16	0.15	0.533			
YAL048C	0.011	-0.06	0.008			
YAL049C	0.04	0.189	-0.047			
YAL051W	-0.082	-0.029	-0.004			
YAL053W	0.015	-0.019	-0.012			
YAL054C	0.447	-0.067	-0.082			
YAL055W	0.137	-0.004	0.289			
YAL056C-A	0.044	-0.046	0.319			
YAL056W	-0.026	-0.172	1.115			
YAL058W	0.055	-0.079	0.143			
YAL059W	0.073	-0.042	-0.315			
YAL060W	-0.019	-0.045	-0.056			
YAL061W	-0.034	-0.085	-0.033			
YAL062W	-0.052	-0.042	-0.136			
YAL064C-A	0.043	-0.099	-0.003			
YAL065C	-0.05	-0.16	-0.315			
YAL066W	-0.248	-0.668	-0.61			
YAL067C	0.093	0.379	0.075			
YAL068C	0.015	0.016	-0.087			
YAR002C-A	-0.072	-0.144	0.014			
YAR002W	-0.149	0.097	0.108			
YAR003W	-0.081	0.108	0.02			
YAR007C				-0.153	-0.069	-0.311
YAR008W				-0.181	-0.232	0.047
YAR014C	0.072	-0.143	-0.128			
YAR015W	0.059	0.004	-0.175			
YAR018C	-0.027	0.104	0.028			
YAR019C				-0.045	0.064	-0.16
YAR020C	0.017	-0.024	0.048			
YAR023C	0.004	-0.11	-0.083			
YAR027W	0.007	-0.159	-0.053			
YAR028W	0.063	0.087	-0.041			
YAR029W	-0.019	-0.13	-0.132			
YAR030C	0.07	-0.049	-0.071			
YAR031W	0.023	-0.219	-0.211			
YAR035W	0.034	0.015	-0.051			
YAR042W	0.127	0.1095	-0.012499999999999999			
YAR047C	-0.048	0.026	-0.072			
YAR050W	0.018	0.024	-0.162			
YBL001C	-0.299	0.235	-0.182			
YBL002W	0.143	0.38	-0.054			
YBL003C	-0.69	-0.523	-0.958			
YBL004W				-0.046	-0.126	0.023
YBL005W	0.525	0.225	-0.229			
YBL006C	-0.068	-0.045	0.579			
YBL007C	0.236	0.315	0.53			
YBL008W	0.738	-0.263	-0.22			
YBL009W	0.026	0.219	0.001			
YBL010C	0.023	0.01	0.112			
YBL011W	-0.17	-0.119	-0.028			
YBL012C	0.01	0.013	0.277			
YBL013W	-0.072	0.116	0.257			
YBL014C				0.067	-0.056	-0.273
YBL015W	0.047	0.2	-0.096			
YBL016W	-0.019	-0.192	-0.068			
YBL017C	0.063	-0.155	-0.108			
YBL018C				0.057	-0.133	-0.087
YBL019W	0.165	-0.081	0.107			
YBL020W				-0.16	-0.231	-0.387
YBL021C	-0.13	-0.297	-0.222			
YBL022C	0.665	2.341	1.46			
YBL023C				0.073	-0.053	0.081
YBL024W	-0.572	0.155	0.14			
YBL025W	0.031	0.425	0.21			
YBL026W				-0.497	-0.251	-0.778
YBL027W	0.023	-0.066	-0.11			
YBL028C	-0.12	0.027	0.707			
YBL029W	0.092	0.137	0.05			
YBL030C				-0.41	-0.5	-0.45
YBL031W	-0.083	-0.037	0.093			
YBL032W	0.484	0.373	0.1			
YBL033C	1.632	0.084	1.588			
YBL034C				0.021	0.069	0.137
YBL035C				0.029	-0.162	0.125
YBL036C	-0.063	-0.116	-0.247			
YBL037W	0.123	-0.068	0.235			
YBL039C	-0.403	-0.155	0.917			
YBL040C				0.16	-0.044	-0.049
YBL041W				-0.221	-0.336	-0.285
YBL043W	-0.08	-0.02	-0.239			
YBL044W	-0.026	-0.179	0.067			
YBL046W	-0.052	-0.156	0.185			
YBL047C	0.442	0.316	0.063			
YBL048W	-0.103	-0.269	-0.361			
YBL049W	0.02	-0.014	-0.138			
YBL050W				-0.095	-0.057	0.037
YBL051C	-0.239	-0.337	0.21			
YBL052C	-0.077	-0.493	-0.311			
YBL053W	0.048	0.377	0.071			
YBL054W	0.133	0.01	-0.273			
YBL055C	0.844	0.563	0.079			
YBL056W	0.303	0.633	-0.229			
YBL057C	-0.026	-0.149	0.126			
YBL059W	-0.447	-0.116	-0.079			
YBL060W	0.377	0.037	-0.442			
YBL061C	-0.053	0.293	-0.026			
YBL062W	-0.043	0.06	-0.27			
YBL063W	-0.113	-0.125	-0.194			
YBL064C	0.009	-0.205	-0.395			
YBL065W	-0.676	-0.489	-1.094			
YBL066C	0.021	0.007	-0.007			
YBL067C	0.54	0.076	0.099			
YBL068W	-0.11	-0.064	-0.139			
YBL069W	0.174	-0.121	0.412			
YBL070C	-0.149	-0.616	-0.456			
YBL071C	0.146	0.061	0.351			
YBL072C	0.048	-0.041	0.241			
YBL073W				-0.149	-0.381	-0.231
YBL074C				-0.211	0.017	-0.172
YBL075C	0.371	0.036	0.011			
YBL076C				-0.142	-0.228	-0.291
YBL077W				0.085	0.005	-0.09
YBL078C	0.007	-0.143	-0.063			
YBL079W	0.007	0.373	0.871			
YBL081W	0.137	0.122	-0.487			
YBL082C	0.081	0.268	0.292			
YBL083C	0.22	0.984	0.889			
YBL084C				-0.039	-0.135	0.144
YBL085W	0.259	-0.145	-0.133			
YBL086C	0.048	0.034	-0.066			
YBL087C	-0.075	-0.231	0.406			
YBL088C	-0.077	-0.289	-0.086			
YBL089W	-0.222	-0.051	0.049			
YBL091C	0.175	0.245	-0.364			
YBL091C-A	0.096	0.417	0.333			
YBL092W				-0.207	-0.13	-0.29
YBL093C	0.016	0.141	-0.408			
YBL094C	-0.042	0.061	0.414			
YBL095W	-0.073	-0.263	-0.212			
YBL096C	-0.099	-0.037	-0.099			
YBL097W				-0.095	0.022	-0.153
YBL098W	-0.014	-0.054	0.064			
YBL099W	-0.176	-0.097	1.476			
YBL100C	0.0	-0.042	0.958			
YBL101C	-0.122	-0.432	-0.687			
YBL102W	-0.054	0.084	0.074			
YBL103C	-0.011	-0.201	-0.212			
YBL104C	-0.061	0.209	-0.065			
YBL105C				-0.052	0.077	0.282
YBL106C	0.023	-0.041	0.016			
YBL107C	-0.007	0.013	-0.14			
YBR001C	0.0	0.051	-0.16			
YBR002C				-0.144	0.309	0.666
YBR003W	-0.031	-0.033	0.196			
YBR004C				0.291	0.335	0.218
YBR005W	-0.026	-0.104	-0.219			
YBR006W	0.0	0.0	0.0			
YBR007C	0.0	-0.029	-0.086			
YBR008C	-0.026	-0.026	-0.108			
YBR009C	-0.119	-0.167	0.138			
YBR010W	0.054	-0.005	-0.067			
YBR011C				0.139	-0.253	-0.299
YBR012C	0.0	-0.159	-0.137			
YBR013C	0.061	-0.02	-0.087			
YBR014C	0.01	0.024	-0.142			
YBR015C	0.02	0.037	0.037			
YBR016W	0.0	-0.023	-0.153			
YBR018C	0.045	0.202	0.031			
YBR019C	-0.024	0.238	-0.215			
YBR020W	0.133	0.2575	0.0875			
YBR021W	0.243	0.47	1.407			
YBR022W	-0.068	0.014	-0.093			
YBR023C	-0.017	0.077	-0.058			
YBR024W	-0.074	-0.015	-0.087			
YBR025C	-0.048	0.123	-0.045			
YBR026C	-0.003	0.003	0.208			
YBR027C	-0.112	-0.062	0.134			
YBR028C	-0.031	-0.18	-0.143			
YBR029C				0.613	0.695	0.608
YBR030W	0.049	0.121	0.036			
YBR031W	0.091	-0.05	0.053			
YBR032W	0.104	0.067	-0.049			
YBR033W	-0.032	0.061	-0.053			
YBR034C	-0.021	0.103	-0.451			
YBR035C	-0.032	-0.016	0.324			
YBR036C	0.879	1.255	1.368			
YBR037C	0.058	0.158	1.621			
YBR038W				-0.2	-0.061	-0.63
YBR039W	0.027	0.227	1.371			
YBR040W	-0.105	0.062	0.083			
YBR041W	-0.053	0.15	-0.024			
YBR042C	-0.185	-0.086	-0.223			
YBR043C	0.071	0.252	-0.11			
YBR044C	0.055	-0.004	-0.226			
YBR045C	0.041	0.032	-0.115			
YBR046C	-0.134	0.102	-0.245			
YBR047W	-0.061	-0.335	-0.225			
YBR048W	-0.331	-0.262	-0.175			
YBR049C				0.147	0.071	-0.161
YBR050C	-0.022	0.09	-0.233			
YBR051W	0.125	0.11	-0.066			
YBR052C	0.124	0.083	-0.035			
YBR053C	0.029	0.178	-0.114			
YBR054W	0.013	0.001	-0.165			
YBR055C				-0.008	0.0	-0.051
YBR056W	-0.081	-0.111	-0.218			
YBR057C	0.114	0.153	0.118			
YBR058C	0.056	0.053	-0.096			
YBR059C	0.15	0.392	0.249			
YBR060C				0.047	0.018	-0.081
YBR061C	0.202	1.073	0.003			
YBR062C	0.13	0.154	-0.065			
YBR063C	-0.103	0.154	-0.055			
YBR064W	-0.056	-0.036	-0.193			
YBR065C	0.037	0.028	-0.112			
YBR066C	-0.099	-0.022	-0.293			
YBR067C	0.017	0.043	-0.059			
YBR068C	-0.025	-0.04	-0.138			
YBR069C	0.972	0.242	0.205			
YBR070C				0.033	-0.215	-0.273
YBR071W	0.02	0.24	0.018			
YBR072W	-0.045	0.062	-0.04			
YBR073W	-0.128	-0.232	-0.217			
YBR074W	-0.055	-0.10233333333333333	-0.16466666666666666			
YBR076W	-0.209	-0.356	-0.173			
YBR077C	-0.059	-0.092	0.131			
YBR078W	0.157	0.358	1.719			
YBR079C				-0.076	0.222	-0.024
YBR080C				-0.172	0.016	0.058
YBR081C	1.564	1.628	1.492			
YBR082C	0.404	0.153	-0.231			
YBR083W	-0.146	-0.078	-0.161			
YBR084C-A	-0.035	0.109	0.117			
YBR084W	0.132	-0.021	-0.044			
YBR085W	-0.048	0.141	-0.028			
YBR087W				0.173	-0.029	0.267
YBR088C				-0.302	-0.304	-0.293
YBR089C-A	-0.242	-0.226	-0.225			
YBR089W				0.01	0.038	-0.097
YBR090C	0.197	0.042	0.574			
YBR091C				0.307	0.117	-0.041
YBR092C	-0.166	0.084	0.095			
