orf	hap alpha | starvation-induced endocytosis (Mup1-pHluorin) | nitrogen starvation | SD-N | Ivashov V~Teis D, 2020
YAL031C	-3.5199790036966334
YBL101C	-6.453294840110495
YBR020W	-5.866631672827723
YBR063C	-4.1066421709794065
YBR129C	-3.5199790036966334
YBR130C	-5.719965881007029
YBR166C	-5.0599698178139105
YCL005W	-3.299980315965594
YCL008C	-7.333289591034653
YCL058C	-5.426634297365643
YDL034W	-5.0599698178139105
YDL035C	-4.766638234172524
YDL047W	-5.353301401455297
YDL077C	-4.473306650531138
YDL081C	-5.573300089186336
YDR069C	-7.333289591034653
YDR176W	-4.326640858710445
YDR283C	-3.373313211875941
YDR456W	-3.299980315965594
YDR466W	-4.839971130082871
YER027C	-3.739977691427673
YER137C	-6.893292215572574
YER155C	-4.473306650531138
YFL033C	-5.426634297365643
YFR009W	-3.8866434832483665
YFR010W	-4.326640858710445
YFR046C	-7.333289591034653
YGL095C	-4.986636921903565
YGL127C	-4.546639546441485
YGR033C	-7.333289591034653
YGR117C	-4.253307962800099
YGR252W	-4.473306650531138
YGR260W	-5.133302713724257
YHL013C	-3.446646107786287
YHL019C	-7.333289591034653
YHL027W	-7.333289591034653
YHL034C	-4.253307962800099
YHL035C	-7.333289591034653
YHL036W	-7.333289591034653
YHL041W	-5.353301401455297
YHL043W	-7.333289591034653
YHL047C	-7.333289591034653
YHR018C	-7.333289591034653
YHR031C	-7.333289591034653
YHR041C	-5.719965881007029
YHR110W	-7.333289591034653
YHR126C	-7.333289591034653
YHR182W	-7.333289591034653
YHR191C	-3.373313211875941
YHR200W	-7.333289591034653
YIL015W	-5.646632985096683
YIL016W	-6.673293527841534
YIL017C	-6.013297464648415
YIL020C	-3.59331189960698
YIL029C	-6.526627736020841
YIL035C	-4.839971130082871
YIL039W	-7.333289591034653
YIL041W	-7.333289591034653
YIL053W	-5.426634297365643
YIL065C	-6.379961944200148
YIL077C	-5.49996719327599
YIL087C	-5.793298776917376
YIL098C	-5.27996850554495
YIL122W	-5.206635609634604
YIL146C	-7.18662379921396
YIL158W	-5.646632985096683
YJL139C	-4.9133040259932175
YJL144W	-5.353301401455297
YJL145W	-3.446646107786287
YJL154C	-3.59331189960698
YJL161W	-4.473306650531138
YJL162C	-7.333289591034653
YJL165C	-5.206635609634604
YJL186W	-7.333289591034653
YJR102C	-7.18662379921396
YKL002W	-7.039958007393267
YKL006W	-7.333289591034653
YKL041W	-7.113290903303613
YKL211C	-4.179975066889752
YKL213C	-7.333289591034653
YKL220C	-5.49996719327599
YKR001C	-7.333289591034653
YKR005C	-7.333289591034653
YKR013W	-7.333289591034653
YKR019C	-5.353301401455297
YKR026C	-7.333289591034653
YKR035C	-7.333289591034653
YKR035W-A	-7.333289591034653
YLL007C	-6.013297464648415
YLR194C	-7.333289591034653
YLR389C	-5.133302713724257
YLR417W	-6.086630360558762
YLR422W	-4.839971130082871
YML042W	-4.253307962800099
YML081C-A	-6.1599632564691085
YMR038C	-4.033309275069059
YMR063W	-4.986636921903565
YMR077C	-6.746626423751882
YMR216C	-3.739977691427673
YNL013C	-6.526627736020841
YNL057W	-6.233296152379455
YNL100W	-5.206635609634604
YNL108C	-6.453294840110495
YNL180C	-7.333289591034653
YNL183C	-3.373313211875941
YNL215W	-4.399973754620792
YNL265C	-3.959976379158713
YNL281W	-7.333289591034653
YNL294C	-7.333289591034653
YNL299W	-7.333289591034653
YNL338W	-7.333289591034653
YNR005C	-4.179975066889752
YNR006W	-5.133302713724257
YNR023W	-6.379961944200148
YOL115W	-6.086630360558762
YOL148C	-3.81331058733802
YOR005C	-7.333289591034653
YOR030W	-7.333289591034653
YOR043W	-7.333289591034653
YOR106W	-5.0599698178139105
YOR364W	-5.133302713724257
YPL002C	-7.333289591034653
YPL065W	-7.333289591034653
YPL084W	-7.333289591034653
YPL154C	-7.333289591034653
YPR062W	-7.333289591034653
YPR173C	-7.333289591034653
