orf	hap a | growth (pooled culture, barseq) | ethanol [24.5%], time [2 min] | SC | Yang J~Tavazoie S, 2020
YAL012W	0.8032319925769341
YAL021C	-0.639495062223889
YAL024C	-0.0556270574899455
YAL044W-A	-0.23305300674141396
YAL054C	0.19245323981444698
YAL056C-A	-0.301727007482178
YAL064C-A	0.41320021950246605
YAL067W-A	-2.98914429018726
YAR002C-A	0.5909024778660971
YAR030C	0.0965091313820307
YAR031W	-0.6478164177648671
YAR035C-A	0.784430860418265
YAR035W	0.27609671380020695
YAR050W	-0.043623057143117004
YBL003C	-0.7582553653976829
YBL005W	-0.20679865621310503
YBL006C	0.123659222537474
YBL007C	0.8566715634527421
YBL008W-A	-0.131317186995935
YBL009W	-0.21813454052299203
YBL010C	-3.58352659282862
YBL011W	0.166648498726625
YBL012C	3.33399043248127
YBL013W	-0.0997231565888805
YBL015W	-0.0944686170954709
YBL019W	-0.36659784344914503
YBL021C	-0.14445971074949102
YBL024W	-0.0169963618044522
YBL027W	0.5252455256575871
YBL028C	-0.30167480758829696
YBL029C-A	-2.3824428122665
YBL029W	-3.2638145365700497
YBL031W	0.34436446287827605
YBL032W	-0.853410643963698
YBL036C	-0.9089809636329169
YBL037W	0.0637243569739995
YBL038W	0.363772583412642
YBL039C	0.625825226865621
YBL039W-B	0.5079257662770721
YBL042C	0.29636699198586697
YBL045C	0.332053446702417
YBL046W	0.374923443142486
YBL047C	-0.103469197014462
YBL048W	-0.20965617374347698
YBL049W	-0.012740353478291
YBL051C	-0.633919735229577
YBL052C	0.9228139921261129
YBL053W	-0.126506392343227
YBL054W	-0.355996798607558
YBL055C	-4.00825020573666
YBL056W	-1.07225842722328
YBL057C	-0.24785283099587002
YBL059W	-0.035992946753548
YBL060W	0.278318327315662
YBL061C	1.88759749530877
YBL062W	0.271123148863477
YBL063W	0.0580141377011805
YBL064C	-1.7499957786263503
YBL066C	0.5814819715762499
YBL067C	-0.285268214527555
YBL068W	0.183718299087547
YBL069W	0.998163130542301
YBL070C	-0.0797788208696655
YBL071C	1.05285612119624
YBL071C-B	1.1503206718766499
