orf	hap a | growth (spot assay) | visible light [35 W/m2] | YPD | Molin M~Blomberg A, 2020
YAL002W	0.5185664009193421
YAL004W	0.880122671035772
YAL005C	0.680811074069501
YAL007C	0.6573957016434893
YAL008W	0.45115391289259066
YAL009W	1.5995812005583994
YAL010C	1.1947687728937728
YAL011W	0.759328846711816
YAL012W	
YAL013W	0.8741281618445675
YAL014C	0.7081918031486409
YAL015C	1.0417865776447564
YAL016W	
YAL017W	1.0570448070448069
YAL018C	0.7921141996650225
YAL019W	0.7853796816373794
YAL020C	0.8117614862036768
YAL021C	0.739403453689168
YAL022C	0.9028187157485644
YAL023C	0.7127647807090316
YAL024C	3.7870959290901944
YAL026C	0.6525110980371183
YAL027W	0.6992928750447548
YAL028W	0.6875781338788499
YAL029C	0.7079119186742505
YAL030W	0.873994855279415
YAL031C	0.8809717856172623
YAL034C	1.0676233963905195
YAL035W	
YAL036C	0.35983166951789053
YAL037W	0.751708697373007
YAL039C	
YAL040C	0.7628613278330793
YAL042C-A	0.7642073086008059
YAL042W	0.6969696969696969
YAL044C	1.3687065083913221
YAL045C	0.7134641296131979
YAL046C	0.7578099576960626
YAL048C	2.093084177436256
YAL049C	0.6900737574054282
YAL051W	0.4768004554511813
YAL053W	0.6248183667538506
YAL054C	0.8900515854618776
YAL055W	0.8696709846135133
YAL056C-A	0.41087534610850673
YAL056W	0.20764915161466885
YAL058W	0.6804947692614621
YAL059W	0.6942205023469131
YAL060W	0.6765146649539714
YAL061W	0.6403191098514669
YAL062W	0.7389489660405995
YAL064C-A	0.7176559216525912
YAL065C	0.8920290431141851
YAL066W	1.068694701262551
YAL067C	0.7396001026574275
YAL068C	0.6199197627769056
YAR002C-A	0.9139131843213476
YAR002W	0.7790169814493078
YAR003W	0.3184351188445354
YAR014C	0.6284405435577626
YAR015W	1.097213078779899
YAR018C	0.6302415145952561
YAR020C	0.8199464524765729
YAR023C	0.7458847736625513
YAR027W	0.8738877390366007
YAR028W	0.7379422357178165
YAR029W	0.8437582273858356
YAR030C	0.6952166786105551
YAR031W	1.0404192160022063
YAR035W	0.7188190873636883
YAR042W	0.8074648883154374
YAR047C	1.1057829945605497
YAR050W	0.42317495588523624
YBL001C	1.316417600664176
YBL002W	0.564089435057177
YBL003C	
YBL005W	0.7260080887925601
YBL006C	0.024615906968848144
YBL007C	0.9914143774558168
YBL008W	1.0310913705583757
YBL009W	1.0458240946045823
YBL010C	1.0637013426060078
YBL011W	0.9225717877464602
YBL012C	0.5770595016405072
YBL013W	1.1636836198239706
YBL015W	1.4999509659703834
YBL016W	0.872210136169527
YBL017C	0.8921729611384784
YBL019W	0.8131787419337916
YBL021C	0.9243529243529244
YBL022C	0.7267871349016933
YBL024W	0.9863995371241748
YBL025W	0.3093108110611028
YBL027W	0.9477445044455354
YBL028C	0.5783642880417074
YBL029W	0.7853482175878752
YBL031W	0.8755472170106317
YBL032W	1.0051367485769818
YBL036C	1.0066471619430533
YBL037W	0.8401284902396837
YBL038W	1.4970894979383944
YBL039C	0.6733703836978395
YBL042C	0.8071622431355961
YBL043W	0.7104892070723505
YBL044W	1.1927929854576562
YBL045C	1.4522653721682848
YBL046W	1.01480077354625
YBL047C	0.578025935509253
YBL048W	0.6603263486137961
YBL049W	0.9188397581254725
YBL051C	0.6908009793634138
YBL052C	0.8089348155106727
YBL053W	0.825846348234408
YBL054W	0.8882056537706037
YBL055C	0.7706464228203358
YBL056W	0.7188024261194993
YBL057C	0.6795034397939967
YBL058W	
YBL059W	0.8290967031928325
YBL060W	0.6713442220688598
YBL061C	0.7078132895838958
YBL062W	0.8181706727822129
YBL063W	0.8082131935342943
YBL064C	0.9463832398806038
YBL065W	1.074081292362329
YBL066C	1.0199841195633623
YBL067C	0.949725881913947
YBL068W	0.724837141022112
YBL069W	0.8636254867410647
YBL070C	0.7964343124360661
YBL071C	0.7018735495556687
YBL072C	0.6493852537018004
YBL075C	0.7631257631257632
YBL078C	0.9576810958503532
YBL079W	0.6825226514067716
YBL080C	0.9044479860909883
YBL081W	0.8400571780853471
YBL082C	0.6867574616053317
YBL083C	0.7302428733704766
YBL085W	0.8665061151248996
YBL086C	0.8063705044696472
YBL087C	0.7569233367105707
YBL088C	0.9153952843273232
YBL089W	0.9866511897852583
YBL090W	1.1631870100588146
YBL091C	0.8932247682909408
YBL091C-A	0.9327496430671034
YBL093C	0.4909407665505227
YBL094C	1.6363250920846915
YBL095W	1.001163431510624
YBL096C	0.8928052838141705
YBL098W	0.6663890045814245
YBL099W	0.39603313803784
YBL100C	0.7175083409159841
YBL101C	0.7746107906043932
YBL102W	0.7575419160785014
YBL103C	2.138493713829968
YBL104C	0.9743074437482759
YBL106C	0.7902341507828117
YBL107C	1.30549431548005
YBR001C	0.9084533979344638
YBR003W	1.1066299639374346
YBR005W	1.0710506424792139
YBR006W	1.246293389150532
YBR007C	1.0553961167800454
YBR008C	1.35837271646906
YBR009C	1.2247294690042783
YBR010W	0.9613882225347192
YBR012C	1.1748929186181498
YBR013C	1.3602693602693603
YBR014C	1.0913904935644065
YBR015C	0.9965872785361602
YBR016W	1.5897554222427317
YBR018C	1.030437539632213
YBR019C	0.986909915481344
YBR020W	0.8149043587187917
YBR021W	0.1481331168831169
YBR022W	0.8466979192367794
YBR023C	0.698677739494066
YBR024W	0.7926942037026408
YBR025C	0.6765547749154306
YBR026C	1.1509006118170537
YBR027C	0.7696455346525146
YBR028C	0.8894362342638203
YBR030W	0.6858574867279981
YBR031W	0.7797549568435012
YBR032W	0.5997108792419883
YBR033W	0.765870878956501
YBR034C	0.7022109680898455
YBR035C	2.072649572649573
YBR036C	0.8171663727219283
YBR037C	0.6826018078464263
YBR040W	0.9300542220593525
YBR041W	0.4667646947931984
YBR042C	0.9116507495386605
YBR043C	0.5964859738444644
YBR044C	0.6685021796716935
YBR045C	0.9462759462759462
YBR046C	0.7506120192687357
YBR047W	0.9736683789161923
YBR048W	0.10235242793382328
YBR050C	0.6613096228672863
YBR051W	0.5680356534495825
YBR052C	0.6832216528708448
YBR053C	0.9201596387857948
YBR054W	1.1792578395357505
YBR056W	0.9816959816959817
YBR057C	0.5417894988447135
YBR058C	0.5121249031115048
YBR059C	0.22286152665899503
YBR061C	0.44485286210780334
YBR062C	0.7093945690436918
YBR063C	0.7028075473551112
YBR064W	0.8273059930731481
YBR065C	0.813456695809637
YBR066C	0.7879872532584236
YBR067C	0.9192565915254992
YBR068C	1.576612687723799
YBR069C	0.8003550038948268
YBR071W	0.775703916407434
YBR072W	0.8672130558251554
YBR073W	0.734071406340314
YBR074W	0.7489649033074594
YBR076W	0.5330239440408931
YBR077C	0.8697157023729032
YBR078W	1.209608843537415
YBR081C	0.05036630036630037
YBR082C	2.8701950256858835
YBR083W	0.5787633946478712
YBR084C-A	0.8857426726279184
YBR084W	0.7823792284945167
YBR085W	1.0162477007970572
YBR086C	0.5354079882381769
YBR089C-A	0.9970605526161082
YBR090C	0.9171252292813072
YBR092C	1.2331222713736376
YBR093C	0.05457113507960965
YBR094W	0.7310277841678807
YBR095C	1.368755572138783
YBR097W	0.045301306363253274
YBR098W	0.4869364716362915
YBR099C	0.6505590742043944
YBR101C	0.7612650433809124
YBR103W	0.44199745577999794
YBR104W	1.239966064086667
YBR105C	0.9940727345790636
YBR106W	0.04967709885742673
YBR107C	0.734155048157877
YBR108W	0.7557397959183674
YBR111C	0.9406104158922893
YBR112C	
YBR113W	0.9023205864500163
YBR114W	1.1268132744298813
YBR115C	1.0528329705538648
YBR116C	1.0113536155202822
YBR118W	1.1071875558734132
YBR119W	0.6009326474688717
YBR120C	0.8902063471574251
YBR121C	1.3426090038993264
YBR122C	1.113612414982278
YBR125C	0.7571577991563508
YBR126C	0.8309642264866145
YBR127C	0.02700479290364118
YBR128C	0.8420705250971099
YBR129C	0.8777647416677531
YBR130C	0.8377087435280391
YBR131W	0.43743865705486173
YBR132C	1.2516896458502298
YBR133C	0.415599931728964
YBR134W	0.8994708994708994
YBR137W	0.8687959014451552
YBR138C	1.0215444202372308
YBR139W	0.8525244211236289
YBR141C	0.6506802294692479
YBR144C	0.670606372045221
YBR145W	0.544296361566986
YBR146W	0.6502237845521428
YBR147W	0.10371898458541058
YBR148W	0.726859952462481
YBR149W	0.6866182486017197
YBR150C	0.7163425393988396
YBR151W	0.8350559127142163
YBR156C	0.8755891435072323
YBR157C	0.7758659019163221
YBR158W	0.8368407017055666
YBR159W	0.6981646825396824
YBR161W	0.7501750700280112
YBR162C	0.6932692832578198
YBR162W-A	0.7565087684893002
YBR163W	1.0237384693596396
YBR164C	0.4842385754188055
YBR165W	1.0072742815497133
YBR166C	0.6938578873935595
YBR168W	0.6091824254398344
YBR169C	0.8168016590366631
YBR170C	0.7603331761747603
YBR171W	
YBR172C	0.5195651884671164
YBR173C	
YBR174C	0.3144781966302035
YBR175W	0.4608294930875576
YBR176W	0.7542600373482726
YBR177C	0.8045185869453653
YBR178W	0.7001541623843782
YBR179C	0.9151613401266019
YBR180W	0.7290469429608095
YBR181C	0.7167995403289521
YBR182C	0.762168335969074
YBR183W	0.7763465080538251
YBR184W	0.7355866086666409
YBR185C	0.7625936654752024
YBR186W	0.8080493929550533
YBR187W	0.9034863945578232
YBR188C	0.6467447776702856
YBR189W	0.22105315155107688
YBR191W	0.5919494869771114
YBR194W	0.9781175515999797
YBR195C	0.7181391438380158
YBR197C	0.8710150726957451
YBR199W	0.7546632493236508
YBR200W	1.4763090119505597
YBR201W	0.7513528872357188
YBR203W	0.79593221885712
YBR204C	0.723276158150999
YBR205W	0.7329312092935334
