orf	hap a | growth (colony size) | indole-3-acetic acid [3 mM] | SC | Nicastro R~De Virgilio C, 2021	hap a | growth (colony size) | rapamycin [4 ng/ml] | SC | Nicastro R~De Virgilio C, 2021
YAL002W	-1.950947618569295	-1.5579362630223137
YAL003W	1.7777583318187598	-0.9376418496840511
YAL004W	-0.49584285744225004	-0.0714649661936839
YAL005C	-0.9092248918533424	-0.6806745140742698
YAL007C	0.3567575885306297	0.7792264386178821
YAL008W	0.7892360756183205	0.51974520868134
YAL009W	0.46146290645712235	-0.62889170250442
YAL010C	0.25421114313870313	0.7792264386178821
YAL011W	0.5683959971054569	-1.6818088710913663
YAL012W	0.7892360756183205	-1.4763616186841575
YAL013W	-1.0642431547575024	0.3777433927380447
YAL014C	0.055333188439207946	0.4713475860190186
YAL015C	-0.04112261959004762	-0.1429299323873682
YAL016C-B	0.25421114313870313	-0.21169810740393222
YAL017W	-0.31925247381032634	-0.03467112221277708
YAL018C	-0.04112261959004762	0.3777433927380447
YAL019W	0.3567575885306297	-0.10754436660214557
YAL020C	1.139106312363421	-1.7275878784212337
YAL021C	-1.7243582119107397	-3.149511590939837
YAL022C	0.25421114313870313	-0.10754436660214557
YAL023C	0.25421114313870313	0.04114649568727335
YAL024C	0.5683959971054569	0.04114649568727335
YAL025C	-0.9874323037689552	-1.1182757386082118
YAL026C	-4.102244743856265	-2.378534729858937
YAL027W	-1.0642431547575024	-1.403679807691041
YAL028W	-0.8295824815539579	-1.7497390110002018
YAL029C	-0.2283603645880135	0.08021577838066637
YAL030W	-0.13566841161872334	-0.03467112221277708
YAL031C	-0.2283603645880135	-0.17764148739572894
YAL032C	0.15375748234661055	0.6199170323312608
YAL033W	0.15375748234661055	0.16079617393579002
YAL034C	0.055333188439207946	0.0028585986477477764
YAL034W-A	-0.13566841161872334	-1.0409027684732246
YAL035W	0.6776287241118193	-0.10754436660214557
YAL036C	0.15375748234661055	0.2448055224932588
YAL037C-A	-0.04112261959004762	-0.21169810740393222
YAL037W	-0.31925247381032634	-0.24511815507553308
YAL038W	-0.6658317314056895	-1.6339489997919596
YAL039C	-0.13566841161872334	0.04114649568727335
YAL040C	-0.04112261959004762	0.04114649568727335
YAL041W	-2.0115769836162563	-2.4850652677453255
YAL042C-A	0.25421114313870313	1.1350864111022823
YAL042W	-0.2283603645880135	1.1998591692518557
YAL043C	-0.40839665785528845	0.20235869374843213
YAL044C	-0.2283603645880135	-0.5199692367885288
YAL044W-A	0.5683959971054569	-0.46264162325384933
YAL045C	-0.2283603645880135	0.33246745142279166
YAL046C	0.5683959971054569	-0.4032665949500746
YAL047C	1.139106312363421	1.4769426346694725
YAL048C	1.139106312363421	4.109235556136839
YAL049C	-0.39479391569731626	-0.39582840459114
YAL051W	-0.2283603645880135	-0.2779193129754383
YAL053W	0.46146290645712235	-1.1182757386082118
YAL054C	0.46146290645712235	-0.0714649661936839
YAL055W	1.0198912687317572	-0.21169810740393222
YAL056C-A	1.513386100509341	-1.1369426439904289
YAL056W	-0.31925247381032634	-0.8492697145342463
YAL058W	1.0198912687317572	-1.5709754849243196
YAL059W	0.5683959971054569	1.7058376713188097
YAL060W	-0.13566841161872334	-0.0714649661936839
YAL061W	0.055333188439207946	-0.0714649661936839
YAL062W	-0.04112261959004762	0.3777433927380447
YAL064C-A	0.46146290645712235	-0.34173247470798024
YAL065C	-0.04112261959004762	-0.491554680514818
YAL066W	-0.13566841161872334	-0.4032665949500746
YAL067C	-1.0642431547575024	-1.4332942598720873
YAL067W-A	-0.49584285744225004	-0.491554680514818
YAL068C	-0.9092248918533424	-0.4032665949500746
YAR002C-A	-0.5816391287351187	-0.6023475722039088
YAR002W	1.0198912687317572	-1.8134235171647346
YAR003W	-0.7484652118045849	0.51974520868134
YAR007C	0.055333188439207946	-1.1182757386082118
YAR008W	0.25421114313870313	-1.9018214137811758
YAR014C	-1.0642431547575024	-1.6934433149431558
YAR015W	0.46146290645712235	0.9504840503759995
YAR018C	-0.31925247381032634	-1.9652865703263136
YAR019C	0.055333188439207946	-1.1369426439904289
YAR020C	0.25421114313870313	0.51974520868134
YAR023C	0.15375748234661055	0.3777433927380447
YAR027W	-0.04112261959004762	0.4240254660825265
YAR028W	-0.7484652118045849	-0.21169810740393222
YAR029W	-0.31925247381032634	-1.4185795789446298
YAR030C	-0.2283603645880135	-0.17764148739572894
YAR031W	-0.2283603645880135	-0.0714649661936839
YAR035C-A	-0.5816391287351187	-0.5753535413898293
YAR035W	-0.5816391287351187	-0.1429299323873682
YAR042W	0.004519976221362988	-1.242542433101096
YAR047C	-0.8295824815539579	-0.4032665949500746
