orf	hap a | growth (colony size) | lithium hexafluorophosphate [3 mM] | YPD | Jin X~Liu B, 2021
YAL002W	-0.5954433333333333
YAL004W	-0.14593
YAL005C	-0.07834666666666666
YAL007C	0.041613333333333336
YAL008W	0.020573333333333332
YAL010C	-0.014970000000000002
YAL011W	-0.003623333333333334
YAL013W	-0.06284666666666666
YAL014C	-0.008533333333333332
YAL015C	0.09239000000000001
YAL017W	-0.10968
YAL018C	0.04147666666666666
YAL019W	0.018113333333333332
YAL020C	-0.03379666666666666
YAL022C	-0.008000000000000002
YAL023C	-0.14634666666666665
YAL024C	0.11392666666666666
YAL026C	-0.01796
YAL027W	0.049240000000000006
YAL028W	0.0043100000000000005
YAL029C	-0.07860333333333334
YAL030W	0.04942666666666667
YAL031C	-0.1375333333333333
YAL034C	-0.009950000000000002
YAL036C	0.018176666666666664
YAL037W	0.0006099999999999994
YAL040C	0.020906666666666667
YAL042C-A	0.013896666666666667
YAL042W	-0.08211
YAL045C	0.008379999999999999
YAL046C	-0.033933333333333336
YAL048C	-0.4317633333333333
YAL049C	-0.000943333333333333
YAL051W	-0.013253333333333334
YAL053W	-0.02348333333333333
YAL054C	0.03175666666666666
YAL055W	-0.06588666666666666
YAL056C-A	0.03574
YAL056W	-0.004019999999999999
YAL058W	0.04819333333333333
YAL059W	0.007826666666666668
YAL060W	0.018933333333333333
YAL061W	0.03305666666666667
YAL062W	-0.25633
YAL064C-A	-0.020996666666666663
YAL065C	-0.07463666666666667
YAL066W	-0.014129999999999998
YAL067C	-0.019296666666666663
YAL068C	0.05411
YAR002C-A	-0.00816
YAR002W	-0.09379
YAR003W	0.06235333333333334
YAR014C	-0.07706333333333333
YAR015W	0.03271333333333334
YAR018C	-0.08624333333333334
YAR020C	-0.05848333333333333
YAR023C	-0.07418000000000001
YAR027W	0.04703666666666667
YAR028W	0.009156666666666665
YAR029W	0.019440000000000002
YAR030C	0.009236666666666667
YAR031W	0.01804
YAR035W	0.029660000000000002
YAR042W	-0.040045
YAR047C	0.12584666666666666
YAR050W	-0.15249
YBL001C	-0.09253333333333334
YBL003C	-0.024406666666666663
YBL005W	-0.08878000000000001
YBL007C	-0.22489000000000003
YBL008W	0.04637
YBL009W	0.05732333333333334
YBL010C	0.08245999999999999
YBL011W	0.04758333333333333
YBL013W	-0.3560733333333333
YBL015W	-0.06008
YBL017C	0.05278
YBL019W	0.01047
YBL021C	-0.28779
YBL024W	-0.5223066666666667
YBL027W	0.14292666666666667
YBL028C	-0.0017199999999999993
YBL029W	0.04686333333333333
YBL031W	0.061396666666666676
YBL032W	-0.07585333333333333
YBL036C	0.05824666666666667
YBL037W	-0.020326666666666663
YBL039C	-0.01368
YBL042C	0.00045999999999999747
YBL043W	-0.41853
YBL046W	0.04928
YBL047C	-0.009223333333333333
YBL048W	0.012580000000000003
YBL049W	-0.042556666666666666
YBL051C	0.03333333333333333
YBL052C	0.051546666666666664
YBL053W	0.03897
YBL054W	-0.020116666666666668
YBL055C	-0.010706666666666665
YBL056W	-0.009976666666666665
YBL057C	0.02435
YBL059W	0.0008733333333333336
YBL060W	0.023966666666666674
YBL061C	-0.04693
YBL062W	0.03430333333333333
YBL063W	0.0248
YBL064C	-0.03978
YBL065W	0.018356666666666663
YBL066C	0.013526666666666668
YBL067C	0.04661333333333334
YBL068W	0.054256666666666654
YBL069W	0.09394999999999999
YBL070C	-0.01565666666666667
YBL071C	0.02492
YBL072C	0.05698333333333333
YBL075C	0.0070999999999999995
YBL078C	-0.05813666666666667
YBL079W	-0.0067399999999999995
YBL081W	-0.10008333333333334
