orf	hom | growth (pooled culture, barseq) | gadolinium [IC5], time [10 gen] | YPD | Pallares RM~Abergel RJ, 2022	hom | growth (pooled culture, barseq) | gadolinium [IC5], time [15 gen] | YPD | Pallares RM~Abergel RJ, 2022	hom | growth (pooled culture, barseq) | gadolinium [IC10], time [10 gen] | YPD | Pallares RM~Abergel RJ, 2022	hom | growth (pooled culture, barseq) | gadolinium [IC10], time [15 gen] | YPD | Pallares RM~Abergel RJ, 2022	hom | growth (pooled culture, barseq) | gadolinium [IC20], time [10 gen] | YPD | Pallares RM~Abergel RJ, 2022	hom | growth (pooled culture, barseq) | gadolinium [IC20], time [15 gen] | YPD | Pallares RM~Abergel RJ, 2022
YAL001C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL002W	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL004W	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL005C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL007C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL008W	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-8.10091648182135
YAL009W	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL011W	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL013W	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL014C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL015C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL017W	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL018C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL019W	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL020C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL021C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL022C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL023C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL024C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL026C	0.01299751662506804	-0.09363570365434405	-7.091198750986538	-4.698328339053785	-0.007096545758764693	-0.07821324225884169
YAL029C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL030W	0.01299751662506804	-0.09363570365434405	-1.8026261650007942	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL031C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL034C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL036C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL037W	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL040C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL042C-A	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL042W	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL048C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL051W	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL053W	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL054C	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL055W	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	-0.05911291526384613	-0.007096545758764693	-0.07821324225884169
YAL056C-A	0.01299751662506804	-0.09363570365434405	-0.031099466534745098	2.776488213846059	-0.007096545758764693	-0.07821324225884169
