orf	hap a | growth (spot assay) | vanilin [6-10 mM] | YPD | Zhao F~Han S, 2023
YCL010C	0.003999999999999997
YCL046W	0.006999999999999999
YDL106C	0.023999999999999994
YDR315C	0.009000000000000001
YDR326C	0.0029999999999999957
YFR034C	0.041999999999999996
YGR197C	0.020000000000000004
YGR233C	0.0049999999999999975
YHR080C	0.0049999999999999975
YHR136C	0.03
YHR155W	0.010999999999999996
YIR025W	0.019000000000000003
YKR050W	0.005999999999999998
YLR063W	0.005999999999999998
YLR307C-A	0.063
YML122C	0.0029999999999999957
YML123C	0.032
YMR263W	0.012999999999999998
YNL155W	0.015
YNL257C	0.03899999999999999
YOR162C	0.055999999999999994
YPR118W	0.044
