orf	hap a (post-SGA) | growth (spot assay) | expression of A-beta-42 | SC - Ura, Gal [2%] | Picon-Pages P~Munoz FJ, 2023
YAL011W	1
YAL021C	1
YAL039C	-1
YAL040C	1
YAL044C	1
YAL060W	1
YBL007C	-1
YBL022C	-1
YBL024W	-1
YBL038W	-1
YBL045C	-1
YBL051C	-1
YBL052C	-1
YBL071C-B	1
YBL080C	-1
YBL090W	-1
YBL098W	-1
YBL106C	-1
YBR021W	-1
YBR048W	1
YBR058C-A	1
YBR066C	1
YBR107C	-1
YBR113W	-1
YBR114W	-1
YBR120C	-1
YBR131W	-1
YBR163W	-1
YBR181C	1
YBR186W	1
YBR206W	1
YBR214W	1
YBR215W	1
YBR241C	-1
YBR246W	1
YBR266C	1
YBR267W	1
YBR280C	-1
YBR282W	-1
YBR283C	-1
YBR288C	-1
YBR291C	1
YBR296C	-1
YCR003W	-1
YCR020W-B	1
YCR028C-A	-1
YCR046C	-1
YCR053W	-1
YCR061W	1
YCR071C	-1
YCR073W-A	-1
YCR094W	1
YDL009C	1
YDL044C	-1
YDL063C	1
YDL067C	-1
YDL069C	-1
YDL075W	1
YDL080C	1
YDL101C	1
YDL104C	-1
YDL174C	-1
YDL190C	-1
YDR028C	-1
YDR029W	-1
YDR035W	-1
YDR069C	-1
YDR077W	-1
YDR079W	-1
YDR114C	-1
YDR115W	-1
YDR123C	1
YDR128W	-1
YDR153C	1
YDR159W	1
YDR171W	1
YDR174W	1
YDR186C	1
YDR194C	-1
YDR195W	1
YDR197W	-1
YDR214W	1
YDR219C	1
YDR225W	1
YDR230W	-1
YDR256C	-1
YDR268W	-1
YDR296W	-1
YDR298C	-1
YDR347W	-1
YDR375C	-1
YDR377W	-1
YDR378C	1
YDR405W	-1
YDR421W	-1
YDR442W	-1
YDR443C	-1
YDR529C	-1
YDR537C	1
YEL071W	-1
YER005W	-1
YER016W	1
YER017C	-1
YER035W	-1
YER042W	-1
YER050C	-1
YER055C	-1
YER058W	-1
YER060W-A	-1
YER066W	1
YER068W	1
YER084W	-1
YER087W	-1
YER092W	1
YER119C-A	1
YER134C	-1
YER151C	1
YER153C	-1
YER154W	-1
YFL030W	-1
YFL036W	-1
YFR024C-A	-1
YFR034C	1
YFR036W	1
YGL003C	-1
YGL007C-A	1
YGL034C	-1
YGL041C-B	1
YGL042C	-1
YGL064C	-1
YGL107C	-1
YGL119W	-1
YGL124C	-1
YGL125W	-1
YGL126W	-1
YGL129C	-1
YGL143C	-1
YGL148W	-1
YGL168W	1
YGL186C	-1
YGL205W	-1
YGL208W	-1
YGL215W	-1
YGL222C	1
YGL241W	1
YGL253W	1
YGL255W	-1
YGR006W	1
YGR015C	1
YGR034W	-1
YGR035C	-1
YGR043C	-1
YGR062C	-1
YGR070W	-1
YGR081C	1
YGR093W	-1
YGR102C	-1
YGR112W	-1
YGR129W	-1
YGR133W	1
YGR138C	-1
YGR150C	-1
YGR165W	-1
YGR171C	-1
YGR204W	-1
YGR215W	-1
YGR220C	-1
YGR222W	-1
YGR226C	1
YGR255C	-1
YGR257C	-1
YGR271C-A	1
YGR284C	1
YHL006C	-1
YHL008C	-1
YHL010C	-1
YHL019C	-1
YHL034C	-1
YHL035C	-1
YHL038C	-1
YHL045W	-1
YHL046C	-1
YHL047C	-1
YHR011W	-1
YHR012W	-1
YHR015W	-1
YHR021C	1
YHR025W	1
YHR037W	-1
YHR050W-A	-1
YHR051W	-1
YHR064C	1
YHR116W	-1
YHR147C	-1
YHR151C	-1
YHR155W	-1
YHR168W	-1
YHR198C	-1
YIL002C	-1
YIL006W	-1
YIL036W	-1
YIL039W	-1
YIL041W	-1
YIL049W	-1
YIL050W	-1
