Strain	Gene	z_score	Fold_change	Description	GO_function	GO_process	GO_component	Essential	Zygosity
YAL001C::chr1_1	TFC3	1.83688	0.237992	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding	DNA binding (IEA); RNA polymerase III transcription factor activity (TAS)	"regulation of transcription, DNA-dependent (IEA); transcription (IEA); transcription initiation from RNA polymerase III promoter (TAS)"	"mitochondrion (IDA, IEA); nucleus (IEA); transcription factor TFIIIC complex (TAS)"	yes	het
YAL002W::chr1_1	VPS8	2.86763	0.425052	Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization; component of the CORVET complex; required for localization and trafficking of the CPY sorting receptor; contains RING finger motif	metal ion binding (IEA); molecular_function (ND); zinc ion binding (IEA)	"late endosome to vacuole transport (IGI, IMP); protein transport (IEA); transport (IEA)"	CORVET complex (IDA); Golgi apparatus (IEA); membrane fraction (IDA)	no	hom
YAL003W::chr1_1	EFB1	-3.01974	-0.257603	"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site"	"translation elongation factor activity (TAS, IEA)"	"translation (IEA); translational elongation (TAS, IEA)"	"eukaryotic translation elongation factor 1 complex (IMP, IEA, ISS); ribosome (TAS)"	yes	het
YAL004W::chr1_1	YAL004W	-0.978514	-0.105441	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C"				no	hom
YAL005C::chr1_1	SSA1	1.5374	0.135975	"ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall"	ATP binding (IEA); ATPase activity (IDA); nucleotide binding (IEA); unfolded protein binding (IDA)	"SRP-dependent cotranslational protein targeting to membrane, translocation (IDA); protein folding (IDA); protein import into nucleus, translocation (IDA); protein refolding (IDA); protein targeting to mitochondrion (IMP); response to stress (IMP, IEA); translation (IMP)"	"cell wall (IEA); chaperonin-containing T-complex (IPI); cytoplasm (IDA, IEA); extracellular region (IEA); fungal-type cell wall (IDA); fungal-type vacuole membrane (IDA); nucleus (IDA)"	no	hom
YAL007C::chr1_1	ERP2	1.39195	0.163272	"Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles"	molecular_function (ND)	ER to Golgi vesicle-mediated transport (IPI); protein transport (IEA); transport (IEA); vesicle-mediated transport (IEA)	ER to Golgi transport vesicle (IDA); endoplasmic reticulum (IEA); endoplasmic reticulum membrane (IEA); integral to membrane (IEA); membrane (IEA)	no	hom
YAL008W::chr1_1	FUN14	0.0885798	0.0180598	Mitochondrial protein of unknown function	molecular_function (ND)	biological_process (ND)	integral to membrane (IEA); membrane (IEA); mitochondrial outer membrane (IDA); mitochondrion (IDA)	no	hom
YAL009W::chr1_1	SPO7	-1.43093	-0.225672	"Regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, which regulates nuclear growth by controlling recruitment of Pah1p onto promoters of phospholipid biosynthetic genes; required for normal nuclear envelope morphology and sporulation"	phosphoprotein phosphatase activity (IDA)	"ascospore formation (IMP); meiosis (IMP); nuclear organization and biogenesis (IGI, IMP); sporulation (IEA)"	"endoplasmic reticulum (IEA); endoplasmic reticulum membrane (IEA); integral to membrane (IEA, IDA, ISS); membrane (IEA); nuclear envelope-endoplasmic reticulum network (IDA); nuclear membrane (IEA); nucleus (IEA)"	no	hom
YAL010C::chr1_1	MDM10			Subunit of both the Mdm10-Mdm12-Mmm1 complex and the mitochondrial sorting and assembly machinery (SAM complex); functions in both the general and Tom40p-specific pathways for import and assembly of outer membrane beta-barrel proteins	molecular_function (ND)	mitochondrial genome maintenance (TAS); mitochondrion inheritance (TAS); mitochondrion organization and biogenesis (TAS); protein complex assembly (IMP); protein import into mitochondrial outer membrane (IMP); telomere maintenance (IMP)	"Mdm10/Mdm12/Mmm1 complex (IPI); integral to membrane (IEA); membrane (IEA); mitochondrial outer membrane (IDA, IEA); mitochondrial sorting and assembly machinery complex (IPI); mitochondrion (IEA); outer membrane (IEA)"	no	hom
YAL011W::chr1_1	SWC3	0.695243	0.136047	"Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae"	molecular_function (ND)	"chromatin modification (IEA); chromatin remodeling (IDA, IMP, IGI); endoplasmic reticulum organization and biogenesis (IMP); histone exchange (IPI); regulation of transcription, DNA-dependent (IEA); response to drug (IMP); transcription (IEA)"	"SWR1 complex (IDA); mitochondrion (IDA); nucleus (IEA, IDA)"	no	hom
